taxid,family,genus_species,helix_5_occupancy_75_max,amr_fullname,amr_phylum,amr_family,amr_pathogenicity,amr_gram_status
>38323,Bartonellaceae,Bartonella henselae,44,Bartonella henselae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>929794,Bartonellaceae,Bartonella senegalensis,44,Bartonella senegalensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>92181,Bartonellaceae,Bartonella koehlerae,44,Bartonella koehlerae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>803,Bartonellaceae,Bartonella quintana,44,Bartonella quintana,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>85701,Bartonellaceae,Bartonella tribocorum,44,Bartonella tribocorum,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>1460968,Bartonellaceae,Bartonella fuyuanensis,44,Bartonella fuyuanensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>33045,Bartonellaceae,Bartonella grahamii,44,Bartonella grahamii,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>2699889,Bartonellaceae,Bartonella gabonensis,44,Bartonella gabonensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>2893471,Bartonellaceae,Bartonella machadoae,44,Bartonella koehlerae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>929795,Bartonellaceae,Bartonella massiliensis,44,Bartonella massiliensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>807,Bartonellaceae,Bartonella elizabethae,44,Bartonella elizabethae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>33046,Bartonellaceae,Bartonella taylorii,44,Bartonella taylorii,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>2133959,Bartonellaceae,Bartonella kosoyi,44,Bartonella kosoyi,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>2961895,Bartonellaceae,Bartonella harrusi,44,Bartonella ancashensis,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>1820002,Bartonellaceae,Bartonella mastomydis,44,Bartonella mastomydis,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
