phylip_id,full_species_id,,,,,
001011111  ,>00101111,1280950,Pseudomonadota,Hyphomonadaceae,Hyphomonas_johnsonii,Gram_negative
001110111  ,>00111011,1214179,Bacillota,Streptococcaceae,Streptococcus_suis,Gram_positive
001010011  ,>00101001,1501268,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus_sp._MIT_0604,Gram_negative
000110011  ,>00011001,35841,Bacillota,Bacillaceae,Caldibacillus_thermoamylovorans,Gram_positive
001010012  ,>00101001,59925,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus_marinus,Gram_negative
001010013  ,>00101001,1499498,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus_sp._MIT_0601,Gram_negative
000000011  ,>00000001,1385514,Bacillota,Bacillaceae,Pontibacillus_yanchengensis,Gram_positive
000001111  ,>00000111,750,Pseudomonadota,Pasteurellaceae,Gallibacterium_anatis,Gram_negative
010010001  ,>01001000,1130798,Bacillota,Lactobacillaceae,Limosilactobacillus_mucosae,Gram_positive
010010011  ,>01001001,1072256,Actinomycetota,Corynebacteriaceae,Corynebacterium_uterequi,Gram_positive
001110112  ,>00111011,568814,Bacillota,Streptococcaceae,Streptococcus_suis,Gram_positive
010011111  ,>01001111,354242,Campylobacterota,Campylobacteraceae,Campylobacter_jejuni,Gram_negative
000001112  ,>00000111,1661745,Pseudomonadota,Pasteurellaceae,Haemophilus_sp._C1,Gram_negative
001011112  ,>00101111,1736536,Pseudomonadota,Comamonadaceae,Variovorax_sp._Root434,Gram_negative
000010011  ,>00001001,1423766,Bacillota,Lactobacillaceae,Lentilactobacillus_kisonensis,Gram_positive
000110012  ,>00011001,1695218,Bacillota,Paenibacillaceae,Paenibacillus_sp._32O-W,Gram_positive
000000012  ,>00000001,371196,Cyanobacteriota,Hapalosiphonaceae,Mastigocoleus_testarum,Gram_negative
001110011  ,>00111001,1603888,Bacillota,Veillonellaceae,Megasphaera_sp._MJR8396C,Gram_positive
010110011  ,>01011001,1477000,Bacillota,Peptoniphilaceae,Peptoniphilus_sp._DNF00840,Gram_positive
010100011  ,>01010001,665004,Actinomycetota,Nocardiopsaceae,Thermobifida_cellulosilytica,Gram_positive
001010111  ,>00101011,1143323,Chlamydiota,Chlamydiaceae,Chlamydia_gallinacea,Gram_negative
010010012  ,>01001001,1705,Actinomycetota,Corynebacteriaceae,Corynebacterium_stationis,Gram_positive
010010013  ,>01001001,1834153,Actinomycetota,Corynebacteriaceae,Corynebacterium_sp._EPI-003-04-2554_SCH2473622,Gram_positive
010100012  ,>01010001,1834126,Actinomycetota,Mycobacteriaceae,Mycobacterium_sp._E1386,Gram_positive
010100013  ,>01010001,1834077,Actinomycetota,Mycobacteriaceae,Mycobacterium_sp._1274761.0,Gram_positive
000001113  ,>00000111,505345,Pseudomonadota,Pasteurellaceae,Gallibacterium_genomosp._3,Gram_negative
010100001  ,>01010000,1839775,Actinomycetota,Streptomycetaceae,Streptomyces_sp._Termitarium-T10T-6,Gram_positive
000000013  ,>00000001,1185653,Bacillota,Planococcaceae,Planococcus_antarcticus,Gram_positive
001110101  ,>00111010,1902136,Bacillota,Streptococcaceae,Streptococcus_sp._NPS_308,Gram_positive
001110102  ,>00111010,1739341,Bacillota,Streptococcaceae,Streptococcus_sp._HMSC071D03,Gram_positive
001110103  ,>00111010,1715098,Bacillota,Streptococcaceae,Streptococcus_sp._HMSC074B11,Gram_positive
000011111  ,>00001111,1739535,Pseudomonadota,Neisseriaceae,Eikenella_sp._HMSC073A11,Gram_negative
001110104  ,>00111010,1739491,Bacillota,Streptococcaceae,Streptococcus_sp._HMSC067H01,Gram_positive
001011113  ,>00101111,1798448,Ignavibacteriota,Melioribacteraceae,Stygiobacter_sp._RIFOXYB2_FULL_37_11,Gram_negative
001011114  ,>00101111,1801612,Ignavibacteriota,Melioribacteraceae,Stygiobacter_sp._GWF2_38_21,Gram_negative
001010112  ,>00101011,439219,Bacillota,Streptococcaceae,Streptococcus_henryi,Gram_positive
001001111  ,>00100111,227084,Bacteroidota,Flavobacteriaceae,Ulvibacter_litoralis,Gram_negative
011001111  ,>01100111,1075417,Bacteroidota,Catalimonadaceae,Catalinimonas_alkaloidigena,Gram_negative
010100014  ,>01010001,310781,Actinomycetota,Streptomycetaceae,Actinacidiphila_guanduensis,Gram_positive
001010014  ,>00101001,1121424,Bacillota,Desulfallaceae,Desulfotruncus_arcticus,Gram_positive
000110013  ,>00011001,2026190,Bacillota,Bacillaceae,Bacillus_mobilis,Gram_positive
010110012  ,>01011001,56427,Actinomycetota,Micromonosporaceae,Couchioplanes_caeruleus,Gram_positive
001011115  ,>00101111,299255,Pseudomonadota,Ferrimonadaceae,Ferrimonas_marina,Gram_negative
010010014  ,>01001001,1715030,Actinomycetota,Corynebacteriaceae,Corynebacterium_sp._HMSC074A01,Gram_positive
000110014  ,>00011001,1764962,Bacillota,Lachnospiraceae,Epulopiscium_sp._Nele67-Bin004,Gram_positive
000011112  ,>00001111,545617,Pseudomonadota,Bartonellaceae,Bartonella_sp._AR_15-3,Gram_negative
001001112  ,>00100111,561365,Bacteroidota,Flavobacteriaceae,Maribacter_arcticus,Gram_negative
010110013  ,>01011001,1261639,Bacillota,Peptoniphilaceae,Peptoniphilus_faecalis,Gram_positive
000011113  ,>00001111,1931275,Pseudomonadota,Neisseriaceae,Neisseria_dumasiana,Gram_negative
000011114  ,>00001111,584,Pseudomonadota,Morganellaceae,Proteus_mirabilis,Gram_negative
001011116  ,>00101111,1986717,Bacteroidota,Flavobacteriaceae,Flavobacteriaceae_bacterium_TMED48,Gram_negative
001010015  ,>00101001,1986593,Cyanobacteriota,Synechococcaceae,Synechococcus_sp._TMED169,Gram_negative
001011117  ,>00101111,1986603,Pseudomonadota,Alteromonadaceae,Alteromonas_sp._TMED35,Gram_negative
010100002  ,>01010000,1982762,Actinomycetota,Streptomycetaceae,Streptomyces_sp._CS159,Gram_positive
000010001  ,>00001000,2005459,Cyanobacteriota,Tolypothrichaceae,Tolypothrix_sp._NIES-4075,Gram_negative
001110105  ,>00111010,1979528,Bacillota,Streptococcaceae,Streptococcus_sp._KR,Gram_positive
000000014  ,>00000001,2033437,Bacteroidota,Chitinophagaceae,Chitinophaga_sp._MD30,Gram_negative
000010012  ,>00001001,1903117,Actinomycetota,Nocardiaceae,Williamsia_sp._1138,Gram_positive
000110015  ,>00011001,2021693,Bacillota,Bacillaceae,Bacillus_sp._7884-1,Gram_positive
001000011  ,>00100001,2029983,Bacteroidota,Chitinophagaceae,Chitinophaga_caeni,Gram_negative
000100011  ,>00010001,987040,Cyanobacteriota,Calotrichaceae,Calothrix_elsteri,Gram_negative
010011112  ,>01001111,2039342,Campylobacterota,Campylobacteraceae,Campylobacter_sp._110,Gram_negative
010010015  ,>01001001,1724,Actinomycetota,Corynebacteriaceae,Corynebacterium_renale,Gram_positive
001010113  ,>00101011,83554,Chlamydiota,Chlamydiaceae,Chlamydia_psittaci,Gram_negative
001001113  ,>00100111,2026729,Bacteroidota,Cytophagaceae,Cytophagaceae_bacterium,Gram_negative
010100015  ,>01010001,2018025,Actinomycetota,Streptomycetaceae,Kitasatospora_sp._MMS16-BH015,Gram_positive
010100003  ,>01010000,58340,Actinomycetota,Streptomycetaceae,Streptomyces_lavendulae,Gram_positive
000001114  ,>00000111,28161,Pseudomonadota,Pasteurellaceae,Conservatibacter_flavescens,Gram_negative
001001114  ,>00100111,1266046,Bacteroidota,Flavobacteriaceae,Aurantibacter_aestuarii,Gram_negative
001001115  ,>00100111,1850093,Bacteroidota,Hymenobacteraceae,Hymenobacter_nivis,Gram_negative
000001115  ,>00000111,1938151,Pseudomonadota,Pasteurellaceae,Pasteurellaceae_bacterium,Gram_negative
000011011  ,>00001101,924,Pseudomonadota,Thiobacillaceae,Thiobacillus_sp.,Gram_negative
001011118  ,>00101111,2283317,Pseudomonadota,Sphingomonadaceae,Sphingomonas_aracearum,Gram_negative
010011113  ,>01001111,32021,Campylobacterota,Campylobacteraceae,Campylobacter_jejuni,Gram_negative
001001116  ,>00100111,2319843,Bacteroidota,Hymenobacteraceae,Hymenobacter_oligotrophus,Gram_negative
000011115  ,>00001111,2153361,Pseudomonadota,Sphaerotilaceae,Paucibacter_sp._KBW04,Gram_negative
000110016  ,>00011001,2292367,Bacillota,Lachnospiraceae,Roseburia_sp._OF03-24,Gram_positive
011011111  ,>01101111,1986724,Bacteroidota,Crocinitomicaceae,Crocinitomicaceae_bacterium_TMED209,Gram_negative
001011119  ,>00101111,2491711,Bacteroidota,Flavobacteriaceae,Flavobacteriaceae_bacterium_14752,Gram_negative
010110014  ,>01011001,946334,Actinomycetota,Micromonosporaceae,Actinoplanes_sp._OR16,Gram_positive
011011112  ,>01101111,2173829,Bacteroidota,Schleiferiaceae,Thermaurantimonas_aggregans,Gram_negative
010010016  ,>01001001,1859290,Actinomycetota,Corynebacteriaceae,Corynebacterium_hylobatis,Gram_positive
000001116  ,>00000111,51161,Pseudomonadota,Pasteurellaceae,Actinobacillus_delphinicola,Gram_negative
000001117  ,>00000111,1978230,Pseudomonadota,Caulobacteraceae,Caulobacteraceae_bacterium,Gram_negative
0010111110 ,>00101111,2510646,Pseudomonadota,Roseobacteraceae,Loktanella_sp._IMCC34160,Gram_negative
001001117  ,>00100111,323412,Bacteroidota,Flavobacteriaceae,Aquimarina_brevivitae,Gram_negative
001110113  ,>00111011,2316646,Bacillota,Streptococcaceae,Streptococcus_sp._X16XC17,Gram_positive
000001118  ,>00000111,1524974,Pseudomonadota,Pasteurellaceae,Testudinibacter_aquarius,Gram_negative
000110017  ,>00011001,2070364,Bacillota,Desulfitobacteriaceae,Dehalobacter_sp._12DCB1,Gram_positive
010110001  ,>01011000,2530367,Actinomycetota,Thermomonosporaceae,Actinomadura_sp._GC306,Gram_positive
001001118  ,>00100111,392009,Bacteroidota,Flavobacteriaceae,Zeaxanthinibacter_enoshimensis,Gram_negative
010100004  ,>01010000,663603,Actinomycetota,Pseudonocardiaceae,Actinomycetospora_succinea,Gram_positive
010100016  ,>01010001,2562581,Actinomycetota,Streptomycetaceae,Streptomyces_sp._RKND-216,Gram_positive
010011114  ,>01001111,2510188,Campylobacterota,Campylobacteraceae,Campylobacter_taeniopygiae,Gram_negative
001001119  ,>00100111,708091,Bacteroidota,Flavobacteriaceae,Gramella_jeungdoensis,Gram_negative
001010016  ,>00101001,2507553,Cyanobacteriota,Merismopediaceae,Aphanocapsa_feldmannii,Gram_negative
011011113  ,>01101111,2528206,Bacteroidota,Flavobacteriaceae,Seonamhaeicola_sediminis,Gram_negative
000111011  ,>00011101,1343,Bacillota,Streptococcaceae,Streptococcus_vestibularis,Gram_positive
010010017  ,>01001001,2597345,Actinomycetota,Dietziaceae,Dietzia_sp._ANT_WB102,Gram_positive
001000111  ,>00100011,2597347,Bacillota,Planococcaceae,Planococcus_sp._ANT_H30,Gram_positive
000111001  ,>00011100,2585775,Bacillota,Carnobacteriaceae,Trichococcus_shcherbakoviae,Gram_positive
000010013  ,>00001001,2652443,Deinococcota,Deinococcaceae,Deinococcus_sp._AJ005,Gram_negative
000001119  ,>00000111,2582921,Pseudomonadota,Pasteurellaceae,Haemophilus_seminalis,Gram_negative
010100005  ,>01010000,2576905,Actinomycetota,Streptosporangiaceae,Microbispora_fusca,Gram_positive
010100017  ,>01010001,2136173,Actinomycetota,Streptomycetaceae,Streptomyces_sp._So13.3,Gram_positive
010011115  ,>01001111,32022,Campylobacterota,Campylobacteraceae,Campylobacter_jejuni,Gram_negative
000011116  ,>00001111,568708,Pseudomonadota,Enterobacteriaceae,Salmonella_enterica,Gram_negative
010100006  ,>01010000,2721245,Actinomycetota,Streptomycetaceae,Streptomyces_sp._RPA4-5,Gram_positive
001110106  ,>00111010,2598453,Bacillota,Streptococcaceae,Streptococcus_sp._116-D4,Gram_positive
000010014  ,>00001001,2698900,Actinomycetota,Gordoniaceae,Gordonia_sp._JH63,Gram_positive
000000015  ,>00000001,1578199,Bacillota,Paenibacillaceae,Brevibacillus_sp._SYP-B805,Gram_positive
011011114  ,>01101111,1803916,Bacteroidota,Salibacteraceae,Salibacter_halophilus,Gram_negative
010010002  ,>01001000,2606623,Bacillota,Staphylococcaceae,Staphylococcus_sp._McC-251-APC-3A2,Gram_positive
000010015  ,>00001001,2607817,Cyanobacteriota,Oscillatoriaceae,Moorena_sp._SIOASIH,Gram_negative
0010011110 ,>00100111,504488,Bacteroidota,Flavobacteriaceae,Muriicola_jejuensis,Gram_negative
001010017  ,>00101001,2751171,Cyanobacteriota,Synechococcaceae,Synechococcus_sp._HK01-R,Gram_negative
001010018  ,>00101001,1968775,Cyanobacteriota,Synechococcaceae,Synechococcus_sp._PROS-9-1,Gram_negative
001110107  ,>00111010,712623,Bacillota,Streptococcaceae,Streptococcus_sp._oral_taxon_061,Gram_positive
010000011  ,>01000001,2690260,Actinomycetota,Streptomycetaceae,Streptomyces_sp._SID3343,Gram_positive
000110018  ,>00011001,1115757,Cyanobacteriota,Leptolyngbyaceae,Leptolyngbya_sp._BL0902,Gram_negative
010010018  ,>01001001,2754726,Actinomycetota,Corynebacteriaceae,Corynebacterium_haemomassiliense,Gram_positive
