,taxid,family,genus_species,helix_5_occupancy_75_max
0,>38323,Bartonellaceae,Bartonella/1-216 henselae,44.0
1,>929794,Bartonellaceae,Bartonella/1-216 senegalensis,44.0
2,>92181,Bartonellaceae,Bartonella/1-216 koehlerae,44.0
3,>803,Bartonellaceae,Bartonella/1-216 quintana,44.0
4,>85701,Bartonellaceae,Bartonella/1-216 tribocorum,44.0
5,>1460968,Bartonellaceae,Bartonella/1-216 fuyuanensis,44.0
6,>33045,Bartonellaceae,Bartonella/1-216 grahamii,44.0
7,>2699889,Bartonellaceae,Bartonella/1-216 gabonensis,44.0
8,>2893471,Bartonellaceae,Bartonella/1-216 machadoae,44.0
9,>929795,Bartonellaceae,Bartonella/1-216 massiliensis,44.0
10,>807,Bartonellaceae,Bartonella/1-216 elizabethae,44.0
11,>33046,Bartonellaceae,Bartonella/1-216 taylorii,44.0
12,>2133959,Bartonellaceae,Bartonella/1-216 kosoyi,44.0
13,>2961895,Bartonellaceae,Bartonella/1-216 harrusi,44.0
14,>1820002,Bartonellaceae,Bartonella/1-216 mastomydis,44.0
15,>33044,Bartonellaceae,Bartonella/1-216 doshiae,44.0
16,>270249,Bartonellaceae,Bartonella/1-216 phoceensis,44.0
17,>686223,Bartonellaceae,Bartonella/1-216 callosciuri,44.0
18,>33047,Bartonellaceae,Bartonella/1-216 vinsonii,44.0
19,>270250,Bartonellaceae,Bartonella/1-216 rattimassiliensis,44.0
20,>1457020,Bartonellaceae,Candidatus/1-216 Bartonella raoultii,44.0
21,>2267275,Bartonellaceae,Bartonella/1-216 krasnovii,44.0
22,>1457016,Bartonellaceae,Bartonella/1-216 saheliensis,44.0
23,>111504,Bartonellaceae,Bartonella/1-216 birtlesii,44.0
24,>928210,Bartonellaceae,Bartonella/1-216 florencae,44.0
25,>481139,Bartonellaceae,Bartonella/1-216 rattaustraliani,44.0
26,>186739,Bartonellaceae,Bartonella/1-216 washoeensis,44.0
27,>481138,Bartonellaceae,Bartonella/1-216 queenslandensis,44.0
28,>52764,Bartonellaceae,Bartonella/1-216 alsatica,44.0
29,>774,Bartonellaceae,Bartonella/1-216 bacilliformis,44.0
30,>56426,Bartonellaceae,Bartonella/1-216 clarridgeiae,44.0
31,>155192,Bartonellaceae,Bartonella/1-216 capreoli,44.0
32,>155194,Bartonellaceae,Bartonella/1-216 bovis,44.0
