taxid,family,genus_species,helix_5_occupancy_75_max,amr_fullname,amr_phylum,amr_family,amr_pathogenicity,amr_gram_status
>1301100,Peptostreptococcaceae,Clostridium dakarense,17,Enterocloster aldenensis,Bacillota,Lachnospiraceae,Pathogenic,Gram-positive
>1776391,Peptostreptococcaceae,Romboutsia timonensis,17,Romboutsia timonensis,Bacillota,Clostridiaceae,Non-pathogenic,Gram-positive
>1115758,Peptostreptococcaceae,Romboutsia ilealis,17,Romboutsia ilealis,Bacillota,Clostridiaceae,Non-pathogenic,Gram-positive
>29358,Peptostreptococcaceae,Paeniclostridium ghonii,17,Paeniclostridium ghonii,Bacillota,Clostridiaceae,Potentially pathogenic,Gram-positive
>1115758,Peptostreptococcaceae,Romboutsia ilealis,15,Romboutsia ilealis,Bacillota,Clostridiaceae,Non-pathogenic,Gram-positive
>1629550,Clostridiaceae,Paraclostridium benzoelyticum,16,Paraclostridium benzoelyticum,Bacillota,Clostridiaceae,Potentially pathogenic,Gram-positive
>1490,Clostridiaceae,Paraclostridium bifermentans,14,Paraclostridium bifermentans,Bacillota,Clostridiaceae,Pathogenic,Gram-positive
>1490,Clostridiaceae,Paraclostridium bifermentans,14,Paraclostridium bifermentans,Bacillota,Clostridiaceae,Pathogenic,Gram-positive
>1490,Clostridiaceae,Paraclostridium bifermentans,14,Paraclostridium bifermentans,Bacillota,Clostridiaceae,Pathogenic,Gram-positive
>1178515,Paenibacillaceae,Paenibacillus swuensis,14,Paenibacillus swuensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>307580,Paenibacillaceae,Paenibacillus woosongensis,14,Paenibacillus woosongensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1505,Peptostreptococcaceae,Paeniclostridium sordellii,15,Paeniclostridium sordellii,Bacillota,Clostridiaceae,Pathogenic,Gram-positive
>1338368,Paenibacillaceae,Paenibacillus lentus,14,Paenibacillus lentus,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>78057,Paenibacillaceae,Paenibacillus popilliae,14,Paenibacillus popilliae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>66347,Paenibacillaceae,Paenibacillus campinasensis,14,Paenibacillus campinasensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1650662,Clostridiaceae,Desnuesiella massiliensis,16,Desnuesiella massiliensis,Bacillota,Clostridiaceae,Non-pathogenic,Gram-positive
>1505,Peptostreptococcaceae,Paeniclostridium sordellii,16,Paeniclostridium sordellii,Bacillota,Clostridiaceae,Pathogenic,Gram-positive
>2509456,Paenibacillaceae,Paenibacillus protaetiae,14,Paenibacillus protaetiae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1820010,Paenibacillaceae,Paenibacillus aceti,14,Paenibacillus aceti,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1324314,Paenibacillaceae,Paenibacillus selenitireducens,15,Paenibacillus selenitireducens,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>683737,Paenibacillaceae,Paenibacillus uliginis,14,Paenibacillus uliginis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1401,Paenibacillaceae,Paenibacillus lautus,14,Paenibacillus lautus,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2692622,Paenibacillaceae,Paenibacillus puerhi,14,Paenibacillus puerhi,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1705565,Paenibacillaceae,Paenibacillus solani,14,Paenibacillus solani,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1473112,Paenibacillaceae,Paenibacillus guangzhouensis,15,Paenibacillus guangzhouensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1406,Paenibacillaceae,Paenibacillus polymyxa,14,Paenibacillus polymyxa,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>1387557,Thermoanaerobacterales/1-179 Family III. Incertae Sedis,Caldicellulosiruptor danielii,16,Caldicellulosiruptor danielii,Bacillota,Syntrophomonadaceae,Non-pathogenic,Gram-positive
