taxid,phylum,family,genus_species,gram_status,occupancy
>1042209,Pseudomonadota,Pseudomonadaceae,Pseudomonas fluorescens,Gram negative,33.0
866499,Synergistota,Synergistaceae,Cloacibacillus evryensis,Gram negative,14.0
69279,Pseudomonadota,Phyllobacteriaceae,Aquamicrobium defluvii,Gram negative,33.0
1461752,Pseudomonadota,Sphingomonadaceae,Sphingobium sp. Ant17,Gram negative,33.0
1457173,Pseudomonadota,Comamonadaceae,Comamonas aquatica,Gram negative,33.0
1158056,Actinomycetota,Streptomycetaceae,Streptomyces sp. PRh5,Gram positive,23.0
1339315,Bacteroidota,Bacteroidaceae,Bacteroides fragilis,Gram negative,28.0
1339316,Bacteroidota,Bacteroidaceae,Bacteroides fragilis,Gram negative,28.0
1339314,Bacteroidota,Bacteroidaceae,Bacteroides fragilis,Gram negative,28.0
1458275,Pseudomonadota,Comamonadaceae,Hylemonella gracilis,Gram negative,33.0
1122180,Pseudomonadota,Paracoccaceae,Limimaricola hongkongensis,Gram negative,29.0
442562,Pseudomonadota,Roseobacteraceae,Rubellimicrobium mesophilum,Gram negative,29.0
1410620,Pseudomonadota,Rhizobiaceae,Shinella sp. DD12,Gram negative,33.0
574750,Pseudomonadota,Burkholderiaceae,Cupriavidus sp. SK-4,Gram negative,33.0
1292020,Actinomycetota,Dietziaceae,Dietzia sp. UCD-THP,Gram positive,17.0
1470557,Actinomycetota,Streptomycetaceae,Streptomyces sp. Tu 6176,Gram positive,23.0
1317122,Bacteroidota,Flavobacteriaceae,Aquimarina atlantica,Gram negative,28.0
1295642,Bacillota,Bacillaceae,Parageobacillus genomosp. 1,Gram positive,14.0
1231351,Pseudomonadota,Acetobacteraceae,Acidomonas methanolica,Gram negative,33.0
316,Pseudomonadota,Pseudomonadaceae,Stutzerimonas stutzeri,Gram negative,33.0
102611,Campylobacterota,Helicobacteraceae,Helicobacter pylori,Gram negative,33.0
1147786,Pseudomonadota,Pseudomonadaceae,Pseudomonas mandelii,Gram negative,33.0
1301098,Pseudomonadota,Pseudomonadaceae,Pseudomonas knackmussii,Gram negative,33.0
1470589,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. RIT288,Gram negative,33.0
29581,Pseudomonadota,Oxalobacteraceae,Janthinobacterium lividum,Gram negative,33.0
1470591,Pseudomonadota,Sphingomonadaceae,Sphingomonas sp. RIT328,Gram negative,33.0
1470593,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. RIT357,Gram negative,33.0
1454373,Pseudomonadota,Roseobacteraceae,Actibacterium mucosum,Gram negative,29.0
1280948,Pseudomonadota,Hyphomonadaceae,Hyphomonas atlantica,Gram negative,28.0
1207058,Pseudomonadota,Hyphomonadaceae,Hyphomonas sp. L-53-1-40,Gram negative,28.0
1280950,Pseudomonadota,Hyphomonadaceae,Hyphomonas johnsonii,Gram negative,28.0
1280951,Pseudomonadota,Hyphomonadaceae,Hyphomonas hirschiana,Gram negative,28.0
1280953,Pseudomonadota,Hyphomonadaceae,Hyphomonas oceanitis,Gram negative,28.0
1286631,Pseudomonadota,Sphaerotilaceae,Sphaerotilus natans,Gram negative,33.0
1419583,Pseudomonadota,Pseudomonadaceae,Pseudomonas mandelii,Gram negative,33.0
303,Pseudomonadota,Pseudomonadaceae,Pseudomonas putida,Gram negative,33.0
1971,Actinomycetota,Streptomycetaceae,Streptomyces noursei,Gram positive,23.0
155920,Pseudomonadota,Lysobacteraceae,Xylella fastidiosa,Gram negative,33.0
1401256,Pseudomonadota,Lysobacteraceae,Xylella fastidiosa,Gram negative,33.0
1301032,Pseudomonadota,Rhizobiaceae,Rhizobium etli,Gram negative,33.0
1426844,Campylobacterota,Helicobacteraceae,Helicobacter pylori,Gram negative,33.0
1433126,Bacteroidota,Rikenellaceae,Mucinivorans hirudinis,Gram negative,28.0
573,Pseudomonadota,Enterobacteriaceae,Klebsiella pneumoniae,Gram negative,33.0
576784,Actinomycetota,Streptomycetaceae,Streptomyces iranensis,Gram positive,23.0
1218352,Pseudomonadota,Pseudomonadaceae,Stutzerimonas stutzeri,Gram negative,33.0
1460649,Bacillota,Fam_of_Geomicrobium,Geomicrobium sp. JCM 19055,Gram positive,14.0
1460635,Bacillota,Fam_of_Geomicrobium,Geomicrobium sp. JCM 19038,Gram positive,14.0
1460636,Bacillota,Fam_of_Geomicrobium,Geomicrobium sp. JCM 19039,Gram positive,14.0
1280954,Pseudomonadota,Hyphomonadaceae,Hyphomonas polymorpha,Gram negative,28.0
1192124,Pseudomonadota,Burkholderiaceae,Burkholderia sp. lig30,Gram negative,33.0
1482739,Bacillota,Bacillaceae,Geobacillus sp. CAMR5420,Gram positive,13.0
1441736,Fusobacteriota,Fusobacteriaceae,Fusobacterium necrophorum,Gram negative,28.0
1464546,Pseudomonadota,Acetobacteraceae,Acidiphilium sp. JA12-A1,Gram negative,28.0
212667,Pseudomonadota,Vibrionaceae,Vibrio fortis,Gram negative,33.0
1348663,Actinomycetota,Streptomycetaceae,Kitasatospora cheerisanensis,Gram positive,22.0
28885,Pseudomonadota,Piscirickettsiaceae,Hydrogenovibrio marinus,Gram negative,33.0
685782,Pseudomonadota,Bartonellaceae,Bartonella rochalimae,Gram negative,34.0
1134510,Pseudomonadota,Bartonellaceae,Bartonella koehlerae,Gram negative,34.0
1288313,Pseudomonadota,Acetobacteraceae,Gluconobacter oxydans,Gram negative,33.0
1147,Cyanobacteriota,Merismopediaceae,Synechocystis sp. PCC 6714,Gram negative,14.0
1354304,Pseudomonadota,Morganellaceae,Xenorhabdus poinarii,Gram negative,33.0
1347341,Pseudomonadota,Yersiniaceae,Serratia symbiotica,Gram negative,33.0
1028800,Pseudomonadota,Rhizobiaceae,Neorhizobium galegae,Gram negative,33.0
1028801,Pseudomonadota,Rhizobiaceae,Neorhizobium galegae,Gram negative,33.0
1504672,Pseudomonadota,Comamonadaceae,Polaromonas sp. CG9_12,Gram negative,33.0
1499968,Bacillota,Paenibacillaceae,Paenibacillus sp. TCA20,Gram positive,13.0
