,taxid,family,genus_species,helix_5_occupancy_30_max
0,38323,Bartonellaceae,Bartonella/1-216 henselae,30.0
1,929794,Bartonellaceae,Bartonella/1-216 senegalensis,30.0
2,92181,Bartonellaceae,Bartonella/1-216 koehlerae,30.0
3,803,Bartonellaceae,Bartonella/1-216 quintana,30.0
4,85701,Bartonellaceae,Bartonella/1-216 tribocorum,30.0
5,1460968,Bartonellaceae,Bartonella/1-216 fuyuanensis,30.0
6,33045,Bartonellaceae,Bartonella/1-216 grahamii,30.0
7,2699889,Bartonellaceae,Bartonella/1-216 gabonensis,30.0
8,2893471,Bartonellaceae,Bartonella/1-216 machadoae,30.0
9,929795,Bartonellaceae,Bartonella/1-216 massiliensis,30.0
10,807,Bartonellaceae,Bartonella/1-216 elizabethae,30.0
11,33046,Bartonellaceae,Bartonella/1-216 taylorii,30.0
12,2133959,Bartonellaceae,Bartonella/1-216 kosoyi,30.0
13,2961895,Bartonellaceae,Bartonella/1-216 harrusi,30.0
14,1820002,Bartonellaceae,Bartonella/1-216 mastomydis,30.0
15,33044,Bartonellaceae,Bartonella/1-216 doshiae,30.0
16,270249,Bartonellaceae,Bartonella/1-216 phoceensis,30.0
17,686223,Bartonellaceae,Bartonella/1-216 callosciuri,30.0
18,33047,Bartonellaceae,Bartonella/1-216 vinsonii,30.0
19,270250,Bartonellaceae,Bartonella/1-216 rattimassiliensis,30.0
20,1457020,Bartonellaceae,Candidatus/1-216 Bartonella raoultii,30.0
21,2267275,Bartonellaceae,Bartonella/1-216 krasnovii,30.0
22,1457016,Bartonellaceae,Bartonella/1-216 saheliensis,30.0
23,111504,Bartonellaceae,Bartonella/1-216 birtlesii,30.0
24,928210,Bartonellaceae,Bartonella/1-216 florencae,30.0
25,481139,Bartonellaceae,Bartonella/1-216 rattaustraliani,30.0
26,186739,Bartonellaceae,Bartonella/1-216 washoeensis,30.0
27,481138,Bartonellaceae,Bartonella/1-216 queenslandensis,30.0
28,52764,Bartonellaceae,Bartonella/1-216 alsatica,30.0
29,774,Bartonellaceae,Bartonella/1-216 bacilliformis,30.0
30,56426,Bartonellaceae,Bartonella/1-216 clarridgeiae,30.0
31,155192,Bartonellaceae,Bartonella/1-216 capreoli,30.0
32,155194,Bartonellaceae,Bartonella/1-216 bovis,30.0
33,1318743,Bartonellaceae,Bartonella/1-216 ancashensis,30.0
34,388640,Bartonellaceae,Bartonella/1-216 australis,30.0
35,395923,Bartonellaceae,Bartonella/1-216 rochalimae,30.0
36,165694,Bartonellaceae,Bartonella/1-216 schoenbuchensis,30.0
37,38323,Bartonellaceae,Bartonella/1-216 henselae,30.0
38,291176,Bartonellaceae,Bartonella/1-216 melophagi,30.0
39,373638,Bartonellaceae,Bartonella/1-214 tamiae,30.0
40,2750929,Bartonellaceae,Bartonella/1-216 apihabitans,30.0
41,2750995,Bartonellaceae,Bartonella/1-216 choladocola,30.0
42,1686310,Bartonellaceae,Bartonella/1-216 apis,30.0
43,335286,Brucellaceae,Brucella/1-214 oryzae,30.0
44,529,Brucellaceae,Brucella/1-214 anthropi,30.0
45,407152,Brucellaceae,Brucella/1-214 cytisi,30.0
46,2670329,Phyllobacteriaceae,Phyllobacterium/1-214 phragmitis,30.0
47,235,Brucellaceae,Brucella/1-214 abortus,30.0
48,94626,Brucellaceae,Brucella/1-214 tritici,30.0
49,94625,Brucellaceae,Brucella/1-214 intermedia,30.0
50,867683,Brucellaceae,Brucella/1-214 pecoris,30.0
51,235,Brucellaceae,Brucella/1-214 abortus,30.0
52,419475,Brucellaceae,Brucella/1-214 pseudogrignonensis,30.0
53,659015,Brucellaceae,Brucella/1-214 daejeonensis,30.0
54,235,Brucellaceae,Brucella/1-214 abortus,30.0
55,235,Brucellaceae,Brucella/1-214 abortus,30.0
56,1218315,Brucellaceae,Brucella/1-214 inopinata,30.0
57,2479765,Brucellaceae,[Ochrobactrum]/1-214 teleogrylli,30.0
58,2448455,Brucellaceae,[Ochrobactrum]/1-214 soli,30.0
59,1494590,Phyllobacteriaceae,Paramesorhizobium/1-215 deserti,30.0
60,235,Brucellaceae,Brucella/1-214 abortus,30.0
61,571256,Brucellaceae,Brucella/1-214 pituitosa,30.0
62,271865,Brucellaceae,[Ochrobactrum]/1-214 quorumnocens,30.0
63,571254,Brucellaceae,Brucella/1-214 rhizosphaerae,30.0
64,643673,Brucellaceae,Paenochrobactrum/1-215 gallinarii,30.0
65,235,Brucellaceae,Brucella/1-214 abortus,30.0
66,2201899,Brucellaceae,Falsochrobactrum/1-214 shanghaiense,30.0
67,29460,Brucellaceae,Brucella/1-214 neotomae,30.0
