Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
N-acetylmuramoyl-L-alanine amidase [Clostridioides difficile],Clostridioides difficile,360,360,100%,8e-125,100.00,274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_021359573.1?report=genbank&log$=prottop&blast_rank=1&RID=96JFA6P2016"",""WP_021359573.1"")"
N-acetylmuramoyl-L-alanine amidase [Asaccharospora irregularis],Asaccharospora irregularis,262,262,100%,2e-86,69.14,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073126232.1?report=genbank&log$=prottop&blast_rank=2&RID=96JFA6P2016"",""WP_073126232.1"")"
N-acetylmuramoyl-L-alanine amidase [Clostridioides mangenotii],Clostridioides mangenotii,258,258,100%,2e-84,68.18,267,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_051599185.1?report=genbank&log$=prottop&blast_rank=3&RID=96JFA6P2016"",""WP_051599185.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia maritimum],Romboutsia maritimum,254,254,100%,3e-83,65.71,268,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115975850.1?report=genbank&log$=prottop&blast_rank=4&RID=96JFA6P2016"",""WP_115975850.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia weinsteinii],Romboutsia weinsteinii,227,227,100%,1e-72,60.45,272,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_094366170.1?report=genbank&log$=prottop&blast_rank=5&RID=96JFA6P2016"",""WP_094366170.1"")"
N-acetylmuramoyl-L-alanine amidase [[Clostridium] dakarense],[Clostridium] dakarense,222,222,100%,3e-70,56.57,283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_052356469.1?report=genbank&log$=prottop&blast_rank=6&RID=96JFA6P2016"",""WP_052356469.1"")"
N-acetylmuramoyl-L-alanine amidase [Peptacetobacter hiranonis],Peptacetobacter hiranonis,215,215,100%,1e-66,54.86,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_006439905.1?report=genbank&log$=prottop&blast_rank=7&RID=96JFA6P2016"",""WP_006439905.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia timonensis],Romboutsia timonensis,205,205,100%,1e-63,53.71,273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071119558.1?report=genbank&log$=prottop&blast_rank=8&RID=96JFA6P2016"",""WP_071119558.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia ilealis],Romboutsia ilealis,204,204,100%,2e-63,53.71,267,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_180702157.1?report=genbank&log$=prottop&blast_rank=9&RID=96JFA6P2016"",""WP_180702157.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia lituseburensis],Romboutsia lituseburensis,199,199,100%,3e-61,52.17,288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092726317.1?report=genbank&log$=prottop&blast_rank=10&RID=96JFA6P2016"",""WP_092726317.1"")"
