File name: output_cleaned_v3.fa
Outlier score: 1
MBed: mBed
Metric mode: affine
Sequences: 34008
Length: 1434
Bootstrap mean: 2204.49
Bootstrap Sd: 473.813
SdNr:
38323:Bartonellaceae:Bartonella/1-216 henselae: -0.231074
929794:Bartonellaceae:Bartonella/1-216 senegalensis: -0.313385
92181:Bartonellaceae:Bartonella/1-216 koehlerae: -0.562428
803:Bartonellaceae:Bartonella/1-216 quintana: -0.505444
85701:Bartonellaceae:Bartonella/1-216 tribocorum: -0.680618
1460968:Bartonellaceae:Bartonella/1-216 fuyuanensis: -0.606749
33045:Bartonellaceae:Bartonella/1-216 grahamii: -0.598307
2699889:Bartonellaceae:Bartonella/1-216 gabonensis: -0.311274
2893471:Bartonellaceae:Bartonella/1-216 machadoae: -0.539212
929795:Bartonellaceae:Bartonella/1-216 massiliensis: -0.313385
807:Bartonellaceae:Bartonella/1-216 elizabethae: -0.708055
33046:Bartonellaceae:Bartonella/1-216 taylorii: -0.313385
2133959:Bartonellaceae:Bartonella/1-216 kosoyi: -0.539212
2961895:Bartonellaceae:Bartonella/1-216 harrusi: -0.298611
1820002:Bartonellaceae:Bartonella/1-216 mastomydis: -0.539212
33044:Bartonellaceae:Bartonella/1-216 doshiae: -0.171979
270249:Bartonellaceae:Bartonella/1-216 phoceensis: -0.171979
686223:Bartonellaceae:Bartonella/1-216 callosciuri: -0.171979
33047:Bartonellaceae:Bartonella/1-216 vinsonii: -0.171979
270250:Bartonellaceae:Bartonella/1-216 rattimassiliensis: -0.171979
1457020:Bartonellaceae:Candidatus/1-216 Bartonella raoultii: -0.171979
2267275:Bartonellaceae:Bartonella/1-216 krasnovii: -0.171979
1457016:Bartonellaceae:Bartonella/1-216 saheliensis: -0.171979
111504:Bartonellaceae:Bartonella/1-216 birtlesii: -0.171979
928210:Bartonellaceae:Bartonella/1-216 florencae: -0.171979
481139:Bartonellaceae:Bartonella/1-216 rattaustraliani: -0.171979
186739:Bartonellaceae:Bartonella/1-216 washoeensis: -0.171979
481138:Bartonellaceae:Bartonella/1-216 queenslandensis: -0.171979
52764:Bartonellaceae:Bartonella/1-216 alsatica: -0.171979
774:Bartonellaceae:Bartonella/1-216 bacilliformis: -0.171979
56426:Bartonellaceae:Bartonella/1-216 clarridgeiae: -0.171979
155192:Bartonellaceae:Bartonella/1-216 capreoli: -0.171979
155194:Bartonellaceae:Bartonella/1-216 bovis: -0.171979
1318743:Bartonellaceae:Bartonella/1-216 ancashensis: -0.171979
388640:Bartonellaceae:Bartonella/1-216 australis: -0.171979
395923:Bartonellaceae:Bartonella/1-216 rochalimae: -0.171979
165694:Bartonellaceae:Bartonella/1-216 schoenbuchensis: -0.171979
38323:Bartonellaceae:Bartonella/1-216 henselae: -0.171979
291176:Bartonellaceae:Bartonella/1-216 melophagi: -0.171979
373638:Bartonellaceae:Bartonella/1-214 tamiae: -0.184642
2750929:Bartonellaceae:Bartonella/1-216 apihabitans: -0.171979
2750995:Bartonellaceae:Bartonella/1-216 choladocola: -0.171979
1686310:Bartonellaceae:Bartonella/1-216 apis: -0.171979
335286:Brucellaceae:Brucella/1-214 oryzae: -0.053789
529:Brucellaceae:Brucella/1-214 anthropi: -0.053789
407152:Brucellaceae:Brucella/1-214 cytisi: -0.053789
2670329:Phyllobacteriaceae:Phyllobacterium/1-214 phragmitis: -0.053789
235:Brucellaceae:Brucella/1-214 abortus: -0.053789
94626:Brucellaceae:Brucella/1-214 tritici: -0.053789
94625:Brucellaceae:Brucella/1-214 intermedia: -0.053789
867683:Brucellaceae:Brucella/1-214 pecoris: -0.053789
235:Brucellaceae:Brucella/1-214 abortus: -0.053789
419475:Brucellaceae:Brucella/1-214 pseudogrignonensis: -0.053789
659015:Brucellaceae:Brucella/1-214 daejeonensis: -0.053789
235:Brucellaceae:Brucella/1-214 abortus: -0.053789
235:Brucellaceae:Brucella/1-214 abortus: -0.053789
1218315:Brucellaceae:Brucella/1-214 inopinata: -0.053789
2479765:Brucellaceae:[Ochrobactrum]/1-214 teleogrylli: -0.053789
2448455:Brucellaceae:[Ochrobactrum]/1-214 soli: -0.053789
1494590:Phyllobacteriaceae:Paramesorhizobium/1-215 deserti: -0.026352
235:Brucellaceae:Brucella/1-214 abortus: -0.053789
