,taxid,family,genus_species,helix_5_occupancy_75_max
7593,>1301100,Peptostreptococcaceae,[Clostridium]/1-175 dakarense,17.0
7594,>1776391,Peptostreptococcaceae,Romboutsia/1-175 timonensis,17.0
7595,>1115758,Peptostreptococcaceae,Romboutsia/1-175 ilealis,17.0
7596,>29358,Peptostreptococcaceae,Paeniclostridium/1-173 ghonii,17.0
7597,>1115758,Peptostreptococcaceae,Romboutsia/1-166 ilealis,15.0
7598,>1629550,Clostridiaceae,Paraclostridium/1-168 benzoelyticum,16.0
7599,>1490,Clostridiaceae,Paraclostridium/1-168 bifermentans,14.0
7600,>1490,Clostridiaceae,Paraclostridium/1-168 bifermentans,14.0
7601,>1490,Clostridiaceae,Paraclostridium/1-168 bifermentans,14.0
7602,>1178515,Paenibacillaceae,Paenibacillus/1-168 swuensis,14.0
7603,>307580,Paenibacillaceae,Paenibacillus/1-169 woosongensis,14.0
7604,>1505,Peptostreptococcaceae,Paeniclostridium/1-166 sordellii,15.0
7605,>1338368,Paenibacillaceae,Paenibacillus/1-169 lentus,14.0
7606,>78057,Paenibacillaceae,Paenibacillus/1-170 popilliae,14.0
7607,>66347,Paenibacillaceae,Paenibacillus/1-168 campinasensis,14.0
7608,>1650662,Clostridiaceae,Desnuesiella/1-169 massiliensis,16.0
7609,>1505,Peptostreptococcaceae,Paeniclostridium/1-168 sordellii,16.0
7610,>2509456,Paenibacillaceae,Paenibacillus/1-168 protaetiae,14.0
7611,>1820010,Paenibacillaceae,Paenibacillus/1-167 aceti,14.0
7612,>1324314,Paenibacillaceae,Paenibacillus/1-170 selenitireducens,15.0
7613,>683737,Paenibacillaceae,Paenibacillus/1-167 uliginis,14.0
7614,>1401,Paenibacillaceae,Paenibacillus/1-167 lautus,14.0
7615,>2692622,Paenibacillaceae,Paenibacillus/1-169 puerhi,14.0
7616,>1705565,Paenibacillaceae,Paenibacillus/1-167 solani,14.0
7617,>1473112,Paenibacillaceae,Paenibacillus/1-170 guangzhouensis,15.0
7618,>1406,Paenibacillaceae,Paenibacillus/1-167 polymyxa,14.0
7619,>1387557,Thermoanaerobacterales/1-179 Family III. Incertae Sedis,Caldicellulosiruptor danielii,16.0
7620,>2079532,Paenibacillaceae,Paenibacillus/1-170 faecalis,15.0
7621,>369333,Paenibacillaceae,Paenibacillus/1-170 terrigena,15.0
7622,>59841,Paenibacillaceae,Paenibacillus/1-169 kobensis,14.0
7623,>49283,Paenibacillaceae,Paenibacillus/1-170 thiaminolyticus,14.0
7624,>83557,Chlamydiaceae,Chlamydia/1-177 caviae,23.0
7625,>2548455,Clostridiaceae,Clostridium/1-169 cuniculi,16.0
7626,>2799335,Paenibacillaceae,Paenibacillus/1-165 alkalitolerans,14.0
7627,>2567944,Paenibacillaceae,Paenibacillus/1-167 dokdonensis,14.0
7628,>369399,Paenibacillaceae,Paenibacillus/1-170 zanthoxyli,15.0
7629,>1527293,Paenibacillaceae,Paenibacillus/1-167 dakarensis,14.0
7630,>2931978,Paenibacillaceae,Paenibacillus/1-168 mangrovi,14.0
7631,>1173085,Paenibacillaceae,Paenibacillus/1-169 profundus,14.0
7632,>130049,Paenibacillaceae,Paenibacillus/1-170 dendritiformis,14.0
7633,>100176,Oscillospiraceae,Papillibacter/1-171 cinnamivorans,16.0
7634,>521520,Paenibacillaceae,Paenibacillus/1-167 urinalis,14.0
7635,>157839,Paenibacillaceae,Paenibacillus/1-168 cookii,14.0
7636,>1462996,Paenibacillaceae,Paenibacillus/1-170 yonginensis,14.0
7637,>1619311,Paenibacillaceae,Paenibacillus/1-170 physcomitrellae,14.0
7638,>2762232,Paenibacillaceae,Paenibacillus/1-165 gallinarum,14.0
7639,>1330551,Paenibacillaceae,Paenibacillus/1-167 lemnae,14.0
7640,>2567944,Paenibacillaceae,Paenibacillus/1-170 dokdonensis,15.0
7641,>2079532,Paenibacillaceae,Paenibacillus/1-167 faecalis,14.0
7642,>683737,Paenibacillaceae,Paenibacillus/1-168 uliginis,14.0
7643,>268407,Paenibacillaceae,Paenibacillus/1-170 wynnii,15.0
7644,>116718,Paenibacillaceae,Paenibacillus/1-167 azoreducens,14.0
7645,>2926292,Lactobacillaceae,Lacticaseibacillus/1-169 kribbianus,15.0
7646,>1720296,Paenibacillaceae,Paenibacillus/1-171 rubinfantis,16.0
7647,>1457141,Chlamydiaceae,Chlamydia/1-177 avium,23.0
7648,>1406,Paenibacillaceae,Paenibacillus/1-168 polymyxa,14.0
7649,>442899,Bacillaceae,Halolactibacillus/1-168 alkaliphilus,14.0
7650,>2931978,Paenibacillaceae,Paenibacillus/1-168 mangrovi,14.0
7651,>1452732,Paenibacillaceae,Paenibacillus/1-169 kyungheensis,14.0
7652,>948756,Paenibacillaceae,Paenibacillus/1-170 macquariensis,15.0
7653,>343517,Paenibacillaceae,Paenibacillus/1-168 barengoltzii,16.0
7654,>66347,Paenibacillaceae,Paenibacillus/1-167 campinasensis,14.0
7655,>157733,Bacillaceae,Alkalihalobacillus/1-170 macyae,18.0
7656,>1651774,Simkaniaceae,Candidatus/1-173 Neptunochlamydia vexilliferae,21.0
7657,>456493,Paenibacillaceae,Saccharibacillus/1-169 sacchari,15.0
7658,>2060666,Paenibacillaceae,Saccharibacillus/1-169 endophyticus,15.0
7659,>1406,Paenibacillaceae,Paenibacillus/1-169 polymyxa,14.0
7660,>252966,Thermoanaerobacterales/1-169 Family IV. Incertae Sedis,Mahella australiensis,15.0
7661,>742054,Paenibacillaceae,Paenibacillus/1-170 sacheonensis,14.0
7662,>225844,Bacillaceae,Alkalihalobacillus/1-170 algicola,18.0
7663,>44250,Paenibacillaceae,Paenibacillus/1-169 alvei,14.0
7664,>2565926,Paenibacillaceae,Paenibacillus/1-167 algicola,14.0
7665,>2079532,Paenibacillaceae,Paenibacillus/1-168 faecalis,14.0
7667,>301953,Thermoanaerobacterales/1-180 Family III. Incertae Sedis,Caldicellulosiruptor acetigenus,16.0
7668,>2774142,Paenibacillaceae,Paenibacillus/1-168 arenosi,14.0
7669,>1926285,Bacillaceae,Oceanobacillus/1-165 timonensis,16.0
7670,>1457153,Chlamydiaceae,Chlamydia/1-177 gallinacea,23.0
7671,>2704463,Paenibacillaceae,Paenibacillus/1-168 rhizovicinus,14.0
7672,>1451,Paenibacillaceae,Paenibacillus/1-169 amylolyticus,14.0
7673,>340071,Criblamydiaceae,Criblamydia/1-177 sequanensis,22.0
7674,>717609,Thermoanaerobacterales/1-180 Family III. Incertae Sedis,Caldicellulosiruptor obsidiansis,16.0
7675,>813,Chlamydiaceae,Chlamydia/1-177 trachomatis,23.0
7676,>83555,Chlamydiaceae,Chlamydia/1-177 abortus,23.0
7677,>582851,Bacillaceae,Oceanobacillus/1-162 sojae,12.0
7678,>2931978,Paenibacillaceae,Paenibacillus/1-168 mangrovi,14.0
7679,>2704462,Paenibacillaceae,Paenibacillus/1-168 lycopersici,14.0
7680,>83556,Chlamydiaceae,Chlamydia/1-177 felis,23.0
7681,>2494525,Chlamydiaceae,Chlamydia/1-177 buteonis,23.0
7682,>2841508,Paenibacillaceae,Paenibacillus/1-167 brevis,14.0
7683,>1435645,Paenibacillaceae,Paenibacillus/1-170 oenotherae,14.0
7684,>1502,Clostridiaceae,Clostridium/1-167 perfringens,14.0
7685,>2654979,Paenibacillaceae,Paenibacillus/1-168 germinis,14.0
7686,>1406,Paenibacillaceae,Paenibacillus/1-169 polymyxa,14.0
7687,>59846,Paenibacillaceae,Paenibacillus/1-167 chibensis,14.0
7688,>2490856,Paenibacillaceae,Paenibacillus/1-170 oralis,15.0
7689,>1462527,Bacillaceae,Oceanobacillus/1-165 jeddahense,16.0
7690,>531815,Bacillaceae,Oceanobacillus/1-162 neutriphilus,12.0
7691,>2744309,Paenibacillaceae,Paenibacillus/1-168 agri,14.0
7692,>2780073,Paenibacillaceae,Paenibacillus/1-171 rhizolycopersici,16.0
7693,>1482,Bacillaceae,Virgibacillus/1-164 halodenitrificans,14.0
7694,>578214,Bacillaceae,Halobacillus/1-168 hunanensis,14.0
7695,>2608683,Paenibacillaceae,Paenibacillus/1-168 tepidiphilus,14.0
7696,>1401,Paenibacillaceae,Paenibacillus/1-170 lautus,15.0
7697,>2806205,Thermoanaerobacterales/1-180 Family III. Incertae Sedis,Caldicellulosiruptor diazotrophicus,16.0
7699,>44251,Paenibacillaceae,Paenibacillus/1-168 durus,14.0
7700,>268407,Paenibacillaceae,Paenibacillus/1-168 wynnii,14.0
7701,>862114,Paenibacillaceae,Paenibacillus/1-170 faecis,15.0
7702,>2707005,Paenibacillaceae,Paenibacillus/1-167 lutimineralis,14.0
7703,>1406,Paenibacillaceae,Paenibacillus/1-167 polymyxa,14.0
7704,>59845,Paenibacillaceae,Paenibacillus/1-169 illinoisensis,14.0
7705,>1507512,Peptostreptococcaceae,Romboutsia/1-166 hominis,14.0
