Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium smegmatis],Mycolicibacterium smegmatis,422,422,100%,7e-149,100.00,264,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011731175.1?report=genbank&log$=prottop&blast_rank=1&RID=96KS83JX016"",""WP_011731175.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium goodii],Mycolicibacterium goodii,413,413,100%,1e-145,97.55,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073681212.1?report=genbank&log$=prottop&blast_rank=2&RID=96KS83JX016"",""WP_073681212.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium wolinskyi],Mycolicibacterium wolinskyi,389,389,100%,8e-136,90.69,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_067851687.1?report=genbank&log$=prottop&blast_rank=3&RID=96KS83JX016"",""WP_067851687.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium mageritense],Mycolicibacterium mageritense,385,385,100%,1e-134,89.71,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197747964.1?report=genbank&log$=prottop&blast_rank=4&RID=96KS83JX016"",""WP_197747964.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium houstonense],Mycolicibacterium houstonense,383,383,99%,2e-133,89.16,273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_276079303.1?report=genbank&log$=prottop&blast_rank=5&RID=96KS83JX016"",""WP_276079303.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium dioxanotrophicus],Mycobacterium dioxanotrophicus,376,376,100%,5e-131,86.76,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_198344239.1?report=genbank&log$=prottop&blast_rank=6&RID=96KS83JX016"",""WP_198344239.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium thermoresistibile],Mycolicibacterium thermoresistibile,375,375,99%,1e-130,87.19,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_040546842.1?report=genbank&log$=prottop&blast_rank=7&RID=96KS83JX016"",""WP_040546842.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium aquaticum],Mycobacterium aquaticum,375,375,100%,2e-130,85.78,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_211296104.1?report=genbank&log$=prottop&blast_rank=8&RID=96KS83JX016"",""WP_211296104.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium brisbanense],Mycolicibacterium brisbanense,374,374,100%,3e-130,85.78,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_029372669.1?report=genbank&log$=prottop&blast_rank=9&RID=96KS83JX016"",""WP_029372669.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium manitobense],Mycobacterium manitobense,374,374,100%,3e-130,86.76,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_264011019.1?report=genbank&log$=prottop&blast_rank=10&RID=96KS83JX016"",""WP_264011019.1"")"
