Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
N-acetylmuramoyl-L-alanine amidase [Nostoc punctiforme],Nostoc punctiforme,349,349,100%,7e-116,100.00,631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041565294.1?report=genbank&log$=prottop&blast_rank=1&RID=96K09JBT016"",""WP_041565294.1"")"
N-acetylmuramoyl-L-alanine amidase [Nostoc sphaeroides],Nostoc sphaeroides,337,337,100%,5e-111,96.47,639,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_118163230.1?report=genbank&log$=prottop&blast_rank=2&RID=96K09JBT016"",""WP_118163230.1"")"
N-acetylmuramoyl-L-alanine amidase [Nostoc commune],Nostoc commune,334,334,100%,4e-110,95.88,631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_109012334.1?report=genbank&log$=prottop&blast_rank=3&RID=96K09JBT016"",""WP_109012334.1"")"
N-acetylmuramoyl-L-alanine amidase [Nostoc flagelliforme],Nostoc flagelliforme,329,329,100%,7e-108,94.12,639,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_100900439.1?report=genbank&log$=prottop&blast_rank=4&RID=96K09JBT016"",""WP_100900439.1"")"
N-acetylmuramoyl-L-alanine amidase [Nostoc mirabile],Nostoc mirabile,328,328,100%,8e-108,94.12,624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_233718310.1?report=genbank&log$=prottop&blast_rank=5&RID=96K09JBT016"",""WP_233718310.1"")"
N-acetylmuramoyl-L-alanine amidase [Nostoc favosum],Nostoc favosum,327,327,100%,2e-107,93.53,624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_233715508.1?report=genbank&log$=prottop&blast_rank=6&RID=96K09JBT016"",""WP_233715508.1"")"
N-acetylmuramoyl-L-alanine amidase [Anabaenopsis circularis],Anabaenopsis circularis,323,323,100%,8e-106,92.94,625,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096585249.1?report=genbank&log$=prottop&blast_rank=7&RID=96K09JBT016"",""WP_096585249.1"")"
N-acetylmuramoyl-L-alanine amidase [Nostoc cycadae],Nostoc cycadae,323,323,100%,9e-106,92.94,625,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103123862.1?report=genbank&log$=prottop&blast_rank=8&RID=96K09JBT016"",""WP_103123862.1"")"
N-acetylmuramoyl-L-alanine amidase [Nostoc],Nostoc,323,323,100%,1e-105,92.35,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_199338973.1?report=genbank&log$=prottop&blast_rank=9&RID=96K09JBT016"",""WP_199338973.1"")"
N-acetylmuramoyl-L-alanine amidase [Amazonocrinis nigriterrae],Amazonocrinis nigriterrae,322,322,100%,1e-105,91.18,611,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_214662801.1?report=genbank&log$=prottop&blast_rank=10&RID=96K09JBT016"",""WP_214662801.1"")"
N-acetylmuramoyl-L-alanine amidase [Nostoc linckia],Nostoc linckia,322,322,100%,2e-105,91.76,627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099070655.1?report=genbank&log$=prottop&blast_rank=11&RID=96K09JBT016"",""WP_099070655.1"")"
N-acetylmuramoyl-L-alanine amidase [Dendronalium phyllosphericum],Dendronalium phyllosphericum,322,322,100%,2e-105,90.00,609,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_225896045.1?report=genbank&log$=prottop&blast_rank=12&RID=96K09JBT016"",""WP_225896045.1"")"
N-acetylmuramoyl-L-alanine amidase [Nostoc piscinale],Nostoc piscinale,321,321,100%,4e-105,92.35,617,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_062298581.1?report=genbank&log$=prottop&blast_rank=13&RID=96K09JBT016"",""WP_062298581.1"")"
N-acetylmuramoyl-L-alanine amidase [Nostoc spongiaeforme],Nostoc spongiaeforme,318,318,100%,1e-103,91.76,619,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_199340877.1?report=genbank&log$=prottop&blast_rank=14&RID=96K09JBT016"",""WP_199340877.1"")"
N-acetylmuramoyl-L-alanine amidase [Nostoc],Nostoc,317,317,100%,1e-103,90.59,625,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_199344958.1?report=genbank&log$=prottop&blast_rank=15&RID=96K09JBT016"",""WP_199344958.1"")"
N-acetylmuramoyl-L-alanine amidase [Anabaena catenula],Anabaena catenula,317,317,100%,1e-103,89.41,612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_199332612.1?report=genbank&log$=prottop&blast_rank=16&RID=96K09JBT016"",""WP_199332612.1"")"
N-acetylmuramoyl-L-alanine amidase [Sphaerospermopsis torques-reginae],Sphaerospermopsis torques-reginae,315,315,100%,2e-102,88.82,640,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_220608576.1?report=genbank&log$=prottop&blast_rank=17&RID=96K09JBT016"",""WP_220608576.1"")"
N-acetylmuramoyl-L-alanine amidase [Anabaena lutea],Anabaena lutea,314,314,100%,3e-102,88.82,612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_199332131.1?report=genbank&log$=prottop&blast_rank=18&RID=96K09JBT016"",""WP_199332131.1"")"
N-acetylmuramoyl-L-alanine amidase [Nostoc edaphicum],Nostoc edaphicum,311,311,100%,8e-101,88.24,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_181927906.1?report=genbank&log$=prottop&blast_rank=19&RID=96K09JBT016"",""WP_181927906.1"")"
N-acetylmuramoyl-L-alanine amidase [Tolypothrix tenuis],Tolypothrix tenuis,311,311,100%,8e-101,87.06,642,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096581570.1?report=genbank&log$=prottop&blast_rank=20&RID=96K09JBT016"",""WP_096581570.1"")"
N-acetylmuramoyl-L-alanine amidase [Plectonema radiosum],Plectonema radiosum,311,311,100%,8e-101,87.65,644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_263747815.1?report=genbank&log$=prottop&blast_rank=21&RID=96K09JBT016"",""WP_263747815.1"")"
