Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
N-acetylmuramoyl-L-alanine amidase CwlD [Clostridioides difficile],Clostridioides difficile,382,382,100%,4e-134,99.47,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_009899606.1?report=genbank&log$=prottop&blast_rank=1&RID=96KSZWM4016"",""WP_009899606.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Clostridioides mangenotii],Clostridioides mangenotii,345,345,100%,2e-119,88.36,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_051599151.1?report=genbank&log$=prottop&blast_rank=2&RID=96KSZWM4016"",""WP_051599151.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Asaccharospora irregularis],Asaccharospora irregularis,337,337,100%,4e-116,85.71,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073127099.1?report=genbank&log$=prottop&blast_rank=3&RID=96KSZWM4016"",""WP_073127099.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Romboutsia weinsteinii],Romboutsia weinsteinii,330,330,100%,2e-113,83.60,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_094367831.1?report=genbank&log$=prottop&blast_rank=4&RID=96KSZWM4016"",""WP_094367831.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Romboutsia lituseburensis],Romboutsia lituseburensis,315,315,100%,4e-107,79.17,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092727830.1?report=genbank&log$=prottop&blast_rank=5&RID=96KSZWM4016"",""WP_092727830.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Romboutsia maritimum],Romboutsia maritimum,312,312,100%,3e-106,79.89,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_095406292.1?report=genbank&log$=prottop&blast_rank=6&RID=96KSZWM4016"",""WP_095406292.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [[Clostridium] dakarense],[Clostridium] dakarense,310,310,100%,2e-105,78.84,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_242824237.1?report=genbank&log$=prottop&blast_rank=7&RID=96KSZWM4016"",""WP_242824237.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Romboutsia],Romboutsia,309,309,100%,7e-105,78.65,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092921858.1?report=genbank&log$=prottop&blast_rank=8&RID=96KSZWM4016"",""WP_092921858.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Eubacteriales],Eubacteriales,307,307,100%,3e-104,78.31,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_187006828.1?report=genbank&log$=prottop&blast_rank=9&RID=96KSZWM4016"",""WP_187006828.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Romboutsia ilealis],Romboutsia ilealis,303,303,99%,8e-103,79.06,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_243633531.1?report=genbank&log$=prottop&blast_rank=10&RID=96KSZWM4016"",""WP_243633531.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Paraclostridium],Paraclostridium,300,300,100%,1e-101,77.78,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_021431518.1?report=genbank&log$=prottop&blast_rank=11&RID=96KSZWM4016"",""WP_021431518.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Paraclostridium],Paraclostridium,299,299,100%,3e-101,77.78,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_046823517.1?report=genbank&log$=prottop&blast_rank=12&RID=96KSZWM4016"",""WP_046823517.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Romboutsia timonensis],Romboutsia timonensis,299,299,99%,4e-101,77.49,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071119010.1?report=genbank&log$=prottop&blast_rank=13&RID=96KSZWM4016"",""WP_071119010.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Paeniclostridium sordellii],Paeniclostridium sordellii,296,296,100%,5e-100,76.72,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_021122050.1?report=genbank&log$=prottop&blast_rank=14&RID=96KSZWM4016"",""WP_021122050.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Paeniclostridium ghonii],Paeniclostridium ghonii,296,296,100%,5e-100,77.78,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_250672901.1?report=genbank&log$=prottop&blast_rank=15&RID=96KSZWM4016"",""WP_250672901.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Intestinibacter bartlettii],Intestinibacter bartlettii,295,295,100%,2e-99,73.02,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_187115020.1?report=genbank&log$=prottop&blast_rank=16&RID=96KSZWM4016"",""WP_187115020.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Terrisporobacter glycolicus],Terrisporobacter glycolicus,293,293,100%,2e-98,74.07,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_018590411.1?report=genbank&log$=prottop&blast_rank=17&RID=96KSZWM4016"",""WP_018590411.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Terrisporobacter mayombei],Terrisporobacter mayombei,291,291,100%,2e-98,72.49,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_265589531.1?report=genbank&log$=prottop&blast_rank=18&RID=96KSZWM4016"",""WP_265589531.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Terrisporobacter],Terrisporobacter,292,292,100%,2e-98,72.49,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074920394.1?report=genbank&log$=prottop&blast_rank=19&RID=96KSZWM4016"",""WP_074920394.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Terrisporobacter othiniensis],Terrisporobacter othiniensis,291,291,100%,4e-98,72.49,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_052233051.1?report=genbank&log$=prottop&blast_rank=20&RID=96KSZWM4016"",""WP_052233051.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Terrisporobacter hibernicus],Terrisporobacter hibernicus,284,284,100%,3e-95,71.05,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_206925877.1?report=genbank&log$=prottop&blast_rank=21&RID=96KSZWM4016"",""WP_206925877.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Romboutsia],Romboutsia,285,285,100%,4e-95,73.02,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_153973118.1?report=genbank&log$=prottop&blast_rank=22&RID=96KSZWM4016"",""WP_153973118.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Tepidibacter thalassicus],Tepidibacter thalassicus,267,267,100%,2e-88,69.84,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_242939280.1?report=genbank&log$=prottop&blast_rank=23&RID=96KSZWM4016"",""WP_242939280.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Tepidibacter formicigenes],Tepidibacter formicigenes,263,263,100%,7e-87,69.84,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_242939124.1?report=genbank&log$=prottop&blast_rank=24&RID=96KSZWM4016"",""WP_242939124.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Tepidibacter mesophilus],Tepidibacter mesophilus,253,253,100%,4e-83,65.08,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_242967914.1?report=genbank&log$=prottop&blast_rank=25&RID=96KSZWM4016"",""WP_242967914.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Caloranaerobacter ferrireducens],Caloranaerobacter ferrireducens,234,234,100%,2e-75,62.43,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_069650770.1?report=genbank&log$=prottop&blast_rank=26&RID=96KSZWM4016"",""WP_069650770.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Caloranaerobacter azorensis],Caloranaerobacter azorensis,232,232,100%,1e-74,61.38,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_035162303.1?report=genbank&log$=prottop&blast_rank=27&RID=96KSZWM4016"",""WP_035162303.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Anaeromonas frigoriresistens],Anaeromonas frigoriresistens,225,225,100%,6e-72,58.20,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_203365245.1?report=genbank&log$=prottop&blast_rank=28&RID=96KSZWM4016"",""WP_203365245.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Inediibacterium massiliense],Inediibacterium massiliense,225,225,100%,1e-71,57.67,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_242847912.1?report=genbank&log$=prottop&blast_rank=29&RID=96KSZWM4016"",""WP_242847912.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Tissierella pigra],Tissierella pigra,224,224,98%,1e-71,58.29,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_154439946.1?report=genbank&log$=prottop&blast_rank=30&RID=96KSZWM4016"",""WP_154439946.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Natronincola ferrireducens],Natronincola ferrireducens,224,224,100%,3e-71,56.08,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_090554765.1?report=genbank&log$=prottop&blast_rank=31&RID=96KSZWM4016"",""WP_090554765.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Caldisalinibacter kiritimatiensis],Caldisalinibacter kiritimatiensis,223,223,100%,3e-71,57.89,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_006310572.1?report=genbank&log$=prottop&blast_rank=32&RID=96KSZWM4016"",""WP_006310572.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Crassaminicella thermophila],Crassaminicella thermophila,223,223,98%,6e-71,58.29,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_148808285.1?report=genbank&log$=prottop&blast_rank=33&RID=96KSZWM4016"",""WP_148808285.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Anaeromicrobium sediminis],Anaeromicrobium sediminis,221,221,100%,2e-70,55.03,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_242973000.1?report=genbank&log$=prottop&blast_rank=34&RID=96KSZWM4016"",""WP_242973000.1"")"
