File name: output_cleaned_v3.fa
Outlier score: 2
MBed: mBed
Metric mode: cumulative
Sequences: 34008
Length: 1434
Bootstrap mean: 1048.8
Bootstrap Sd: 376.269
SdNr:
38323:Bartonellaceae:Bartonella/1-216 henselae: -0.562898
929794:Bartonellaceae:Bartonella/1-216 senegalensis: -0.477853
92181:Bartonellaceae:Bartonella/1-216 koehlerae: -0.557583
803:Bartonellaceae:Bartonella/1-216 quintana: -0.51506
85701:Bartonellaceae:Bartonella/1-216 tribocorum: -0.491141
1460968:Bartonellaceae:Bartonella/1-216 fuyuanensis: -0.488484
33045:Bartonellaceae:Bartonella/1-216 grahamii: -0.536322
2699889:Bartonellaceae:Bartonella/1-216 gabonensis: -0.344969
2893471:Bartonellaceae:Bartonella/1-216 machadoae: -0.323708
929795:Bartonellaceae:Bartonella/1-216 massiliensis: -0.3556
807:Bartonellaceae:Bartonella/1-216 elizabethae: -0.493799
33046:Bartonellaceae:Bartonella/1-216 taylorii: -0.557583
2133959:Bartonellaceae:Bartonella/1-216 kosoyi: -0.424699
2961895:Bartonellaceae:Bartonella/1-216 harrusi: -0.528349
1820002:Bartonellaceae:Bartonella/1-216 mastomydis: -0.326366
33044:Bartonellaceae:Bartonella/1-216 doshiae: -0.299789
270249:Bartonellaceae:Bartonella/1-216 phoceensis: -0.299789
686223:Bartonellaceae:Bartonella/1-216 callosciuri: -0.299789
33047:Bartonellaceae:Bartonella/1-216 vinsonii: -0.299789
270250:Bartonellaceae:Bartonella/1-216 rattimassiliensis: -0.299789
1457020:Bartonellaceae:Candidatus/1-216 Bartonella raoultii: -0.299789
2267275:Bartonellaceae:Bartonella/1-216 krasnovii: -0.299789
1457016:Bartonellaceae:Bartonella/1-216 saheliensis: -0.299789
111504:Bartonellaceae:Bartonella/1-216 birtlesii: -0.299789
928210:Bartonellaceae:Bartonella/1-216 florencae: -0.299789
481139:Bartonellaceae:Bartonella/1-216 rattaustraliani: -0.299789
186739:Bartonellaceae:Bartonella/1-216 washoeensis: -0.299789
481138:Bartonellaceae:Bartonella/1-216 queenslandensis: -0.299789
52764:Bartonellaceae:Bartonella/1-216 alsatica: -0.299789
774:Bartonellaceae:Bartonella/1-216 bacilliformis: -0.299789
56426:Bartonellaceae:Bartonella/1-216 clarridgeiae: -0.299789
155192:Bartonellaceae:Bartonella/1-216 capreoli: -0.299789
155194:Bartonellaceae:Bartonella/1-216 bovis: -0.299789
1318743:Bartonellaceae:Bartonella/1-216 ancashensis: -0.299789
388640:Bartonellaceae:Bartonella/1-216 australis: -0.299789
395923:Bartonellaceae:Bartonella/1-216 rochalimae: -0.299789
165694:Bartonellaceae:Bartonella/1-216 schoenbuchensis: -0.299789
38323:Bartonellaceae:Bartonella/1-216 henselae: -0.299789
291176:Bartonellaceae:Bartonella/1-216 melophagi: -0.299789
373638:Bartonellaceae:Bartonella/1-214 tamiae: -0.294474
2750929:Bartonellaceae:Bartonella/1-216 apihabitans: -0.299789
2750995:Bartonellaceae:Bartonella/1-216 choladocola: -0.299789
1686310:Bartonellaceae:Bartonella/1-216 apis: -0.299789
335286:Brucellaceae:Brucella/1-214 oryzae: -0.289158
529:Brucellaceae:Brucella/1-214 anthropi: -0.289158
407152:Brucellaceae:Brucella/1-214 cytisi: -0.289158
2670329:Phyllobacteriaceae:Phyllobacterium/1-214 phragmitis: -0.289158
235:Brucellaceae:Brucella/1-214 abortus: -0.289158
94626:Brucellaceae:Brucella/1-214 tritici: -0.289158
94625:Brucellaceae:Brucella/1-214 intermedia: -0.289158
867683:Brucellaceae:Brucella/1-214 pecoris: -0.289158
235:Brucellaceae:Brucella/1-214 abortus: -0.289158
419475:Brucellaceae:Brucella/1-214 pseudogrignonensis: -0.289158
659015:Brucellaceae:Brucella/1-214 daejeonensis: -0.289158
235:Brucellaceae:Brucella/1-214 abortus: -0.289158
235:Brucellaceae:Brucella/1-214 abortus: -0.289158
1218315:Brucellaceae:Brucella/1-214 inopinata: -0.289158
2479765:Brucellaceae:[Ochrobactrum]/1-214 teleogrylli: -0.289158
