Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,356,356,100%,4e-123,99.43,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_000717800.1?report=genbank&log$=prottop&blast_rank=1&RID=96KTNVR7013"",""WP_000717800.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus argenteus],Staphylococcus argenteus,352,352,100%,2e-121,97.71,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_000717813.1?report=genbank&log$=prottop&blast_rank=2&RID=96KTNVR7013"",""WP_000717813.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus schweitzeri],Staphylococcus schweitzeri,351,351,100%,5e-121,97.14,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_047530022.1?report=genbank&log$=prottop&blast_rank=3&RID=96KTNVR7013"",""WP_047530022.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus simiae],Staphylococcus simiae,297,297,100%,1e-99,78.86,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_002462062.1?report=genbank&log$=prottop&blast_rank=4&RID=96KTNVR7013"",""WP_002462062.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus saccharolyticus],Staphylococcus saccharolyticus,286,286,100%,2e-95,77.71,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115313199.1?report=genbank&log$=prottop&blast_rank=5&RID=96KTNVR7013"",""WP_115313199.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,284,284,100%,1e-94,76.57,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_001830843.1?report=genbank&log$=prottop&blast_rank=6&RID=96KTNVR7013"",""WP_001830843.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,282,282,100%,7e-94,76.57,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_044466737.1?report=genbank&log$=prottop&blast_rank=7&RID=96KTNVR7013"",""WP_044466737.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,277,277,100%,5e-92,73.14,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016930849.1?report=genbank&log$=prottop&blast_rank=8&RID=96KTNVR7013"",""WP_016930849.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus borealis],Staphylococcus borealis,277,277,100%,5e-92,73.71,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_053029565.1?report=genbank&log$=prottop&blast_rank=9&RID=96KTNVR7013"",""WP_053029565.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,276,276,100%,1e-91,74.29,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_017637068.1?report=genbank&log$=prottop&blast_rank=10&RID=96KTNVR7013"",""WP_017637068.1"")"
