Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacteroides abscessus],Mycobacteroides abscessus,422,422,100%,2e-149,100.00,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_005092049.1?report=genbank&log$=prottop&blast_rank=1&RID=96KRKV8D016"",""WP_005092049.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [[Mycobacterium] stephanolepidis],[Mycobacterium] stephanolepidis,414,414,100%,5e-146,97.55,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_162291526.1?report=genbank&log$=prottop&blast_rank=2&RID=96KRKV8D016"",""WP_162291526.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacteroides immunogenum],Mycobacteroides immunogenum,411,411,100%,5e-145,97.06,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_043078414.1?report=genbank&log$=prottop&blast_rank=3&RID=96KRKV8D016"",""WP_043078414.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacteroides chelonae],Mycobacteroides chelonae,411,411,100%,6e-145,96.57,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_046255442.1?report=genbank&log$=prottop&blast_rank=4&RID=96KRKV8D016"",""WP_046255442.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacteroides franklinii],Mycobacteroides franklinii,410,410,100%,1e-144,97.06,250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_070939087.1?report=genbank&log$=prottop&blast_rank=5&RID=96KRKV8D016"",""WP_070939087.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacteroides salmoniphilum],Mycobacteroides salmoniphilum,410,410,100%,5e-144,96.08,296,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_234803069.1?report=genbank&log$=prottop&blast_rank=6&RID=96KRKV8D016"",""WP_234803069.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacteroides saopaulense],Mycobacteroides saopaulense,407,407,100%,2e-143,95.59,250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_083015375.1?report=genbank&log$=prottop&blast_rank=7&RID=96KRKV8D016"",""WP_083015375.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium madagascariense],Mycolicibacterium madagascariense,315,315,100%,1e-106,70.59,262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163733868.1?report=genbank&log$=prottop&blast_rank=8&RID=96KRKV8D016"",""WP_163733868.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium intermedium],Mycobacterium intermedium,310,310,99%,7e-105,69.80,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197518072.1?report=genbank&log$=prottop&blast_rank=9&RID=96KRKV8D016"",""WP_197518072.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium simulans],Mycobacterium simulans,309,309,99%,1e-104,69.80,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186245201.1?report=genbank&log$=prottop&blast_rank=10&RID=96KRKV8D016"",""WP_186245201.1"")"
