taxid,family,genus_species,helix_5_occupancy_30_max,amr_fullname,amr_phylum,amr_family,amr_pathogenicity,amr_gram_status
38323,Bartonellaceae,Bartonella henselae,30,Bartonella henselae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
929794,Bartonellaceae,Bartonella senegalensis,30,Bartonella senegalensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
92181,Bartonellaceae,Bartonella koehlerae,30,Bartonella koehlerae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
803,Bartonellaceae,Bartonella quintana,30,Bartonella quintana,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
85701,Bartonellaceae,Bartonella tribocorum,30,Bartonella tribocorum,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
1460968,Bartonellaceae,Bartonella fuyuanensis,30,Bartonella fuyuanensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
33045,Bartonellaceae,Bartonella grahamii,30,Bartonella grahamii,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
2699889,Bartonellaceae,Bartonella gabonensis,30,Bartonella gabonensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
2893471,Bartonellaceae,Bartonella machadoae,30,Bartonella koehlerae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
929795,Bartonellaceae,Bartonella massiliensis,30,Bartonella massiliensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
807,Bartonellaceae,Bartonella elizabethae,30,Bartonella elizabethae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
33046,Bartonellaceae,Bartonella taylorii,30,Bartonella taylorii,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
2133959,Bartonellaceae,Bartonella kosoyi,30,Bartonella kosoyi,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
2961895,Bartonellaceae,Bartonella harrusi,30,Bartonella ancashensis,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
1820002,Bartonellaceae,Bartonella mastomydis,30,Bartonella mastomydis,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
33044,Bartonellaceae,Bartonella doshiae,30,Bartonella doshiae,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
270249,Bartonellaceae,Bartonella phoceensis,30,Bartonella phoceensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
686223,Bartonellaceae,Bartonella callosciuri,30,Bartonella callosciuri,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
33047,Bartonellaceae,Bartonella vinsonii,30,Bartonella vinsonii,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
270250,Bartonellaceae,Bartonella rattimassiliensis,30,Bartonella rattimassiliensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
1457020,Bartonellaceae,Candidatus Bartonella raoultii,30,(unknown name),(unknown phylum),(unknown family),Unknown,NA
2267275,Bartonellaceae,Bartonella krasnovii,30,Bartonella krasnovii,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
1457016,Bartonellaceae,Bartonella saheliensis,30,Bartonella ancashensis,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
111504,Bartonellaceae,Bartonella birtlesii,30,Bartonella birtlesii,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
928210,Bartonellaceae,Bartonella florencae,30,Bartonella florencae,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
481139,Bartonellaceae,Bartonella rattaustraliani,30,Bartonella rattaustraliani,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
186739,Bartonellaceae,Bartonella washoeensis,30,Bartonella washoeensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
481138,Bartonellaceae,Bartonella queenslandensis,30,Bartonella queenslandensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
52764,Bartonellaceae,Bartonella alsatica,30,Bartonella alsatica,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
774,Bartonellaceae,Bartonella bacilliformis,30,Bartonella bacilliformis,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
56426,Bartonellaceae,Bartonella clarridgeiae,30,Bartonella clarridgeiae,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
155192,Bartonellaceae,Bartonella capreoli,30,Bartonella capreoli,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
155194,Bartonellaceae,Bartonella bovis,30,Bartonella bovis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
1318743,Bartonellaceae,Bartonella ancashensis,30,Bartonella ancashensis,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
388640,Bartonellaceae,Bartonella australis,30,Bartonella australis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
395923,Bartonellaceae,Bartonella rochalimae,30,Bartonella rochalimae,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
165694,Bartonellaceae,Bartonella schoenbuchensis,30,Bartonella schoenbuchensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
38323,Bartonellaceae,Bartonella henselae,30,Bartonella henselae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
291176,Bartonellaceae,Bartonella melophagi,30,Bartonella melophagi,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
373638,Bartonellaceae,Bartonella tamiae,30,Bartonella tamiae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
2750929,Bartonellaceae,Bartonella apihabitans,30,Bartonella elizabethae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
2750995,Bartonellaceae,Bartonella choladocola,30,Salmonella enterica enterica,Pseudomonadota,Enterobacteriaceae,Pathogenic,Gram-negative
1686310,Bartonellaceae,Bartonella apis,30,Bartonella apis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
335286,Brucellaceae,Brucella oryzae,30,Brucella oryzae,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
529,Brucellaceae,Brucella anthropi,30,Brucella anthropi,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
407152,Brucellaceae,Brucella cytisi,30,Brucella cytisi,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
2670329,Phyllobacteriaceae,Phyllobacterium phragmitis,30,Phyllobacterium phragmitis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
235,Brucellaceae,Brucella abortus,30,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
94626,Brucellaceae,Brucella tritici,30,Brucella tritici,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
94625,Brucellaceae,Brucella intermedia,30,Brucella intermedia,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
867683,Brucellaceae,Brucella pecoris,30,Brucella pecoris,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
235,Brucellaceae,Brucella abortus,30,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
419475,Brucellaceae,Brucella pseudogrignonensis,30,Brucella pseudogrignonensis,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
659015,Brucellaceae,Brucella daejeonensis,30,Brucella daejeonensis,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
235,Brucellaceae,Brucella abortus,30,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
235,Brucellaceae,Brucella abortus,30,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
1218315,Brucellaceae,Brucella inopinata,30,Brucella inopinata,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
2479765,Brucellaceae,Ochrobactrum teleogrylli,30,Ochrobactrum teleogrylli,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
2448455,Brucellaceae,Ochrobactrum soli,30,Ochrobactrum soli,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
1494590,Phyllobacteriaceae,Paramesorhizobium deserti,30,Paramesorhizobium deserti,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
235,Brucellaceae,Brucella abortus,30,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
571256,Brucellaceae,Brucella pituitosa,30,Brucella pituitosa,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
271865,Brucellaceae,Ochrobactrum quorumnocens,30,Brucella pseudogrignonensis,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
571254,Brucellaceae,Brucella rhizosphaerae,30,Brucella rhizosphaerae,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
643673,Brucellaceae,Paenochrobactrum gallinarii,30,Paenochrobactrum gallinarii,Pseudomonadota,Brucellaceae,Non-pathogenic,Gram-negative
235,Brucellaceae,Brucella abortus,30,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
2201899,Brucellaceae,Falsochrobactrum shanghaiense,30,Falsochrobactrum shanghaiense,Pseudomonadota,Brucellaceae,Non-pathogenic,Gram-negative
29460,Brucellaceae,Brucella neotomae,30,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
235,Brucellaceae,Brucella abortus,30,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
94627,Brucellaceae,Brucella grignonensis,30,Brucella grignonensis,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
419474,Brucellaceae,Brucella haematophila,30,Brucella haematophila,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
1899321,Phyllobacteriaceae,Phyllobacterium salinisoli,30,Phyllobacterium salinisoli,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
571255,Brucellaceae,Brucella thiophenivorans,30,Brucella thiophenivorans,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
1963359,Brucellaceae,Brucella endophytica,30,Brucella endophytica,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
314237,Phyllobacteriaceae,Phyllobacterium leguminum,30,Phyllobacterium leguminum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
354351,Brucellaceae,Pseudochrobactrum asaccharolyticum,30,Pseudochrobactrum asaccharolyticum,Pseudomonadota,Brucellaceae,Non-pathogenic,Gram-negative
1867719,Phyllobacteriaceae,Phyllobacterium zundukense,30,Phyllobacterium zundukense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
2834768,Brucellaceae,Pseudochrobactrum algeriensis,30,Pseudochrobactrum algeriense,Pseudomonadota,Brucellaceae,Non-pathogenic,Gram-negative
28101,Phyllobacteriaceae,Phyllobacterium myrsinacearum,30,Phyllobacterium myrsinacearum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
314236,Phyllobacteriaceae,Phyllobacterium bourgognense,30,Phyllobacterium bourgognense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
1149773,Phyllobacteriaceae,Phyllobacterium endophyticum,30,Phyllobacterium endophyticum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
314237,Phyllobacteriaceae,Phyllobacterium leguminum,30,Phyllobacterium leguminum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
2817027,Phyllobacteriaceae,Phyllobacterium calauticae,30,Phyllobacterium calauticae,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
69279,Phyllobacteriaceae,Aquamicrobium defluvii,30,Aquamicrobium defluvii,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
300193,Phyllobacteriaceae,Phyllobacterium trifolii,30,Phyllobacterium trifolii,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
89772,Phyllobacteriaceae,Aquamicrobium lusatiense,30,Aquamicrobium lusatiense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
314235,Phyllobacteriaceae,Phyllobacterium brassicacearum,30,Phyllobacterium brassicacearum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
381,Phyllobacteriaceae,Mesorhizobium loti,30,Mesorhizobium loti,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
354351,Brucellaceae,Pseudochrobactrum asaccharolyticum,30,Pseudochrobactrum asaccharolyticum,Pseudomonadota,Brucellaceae,Non-pathogenic,Gram-negative
1873176,Phyllobacteriaceae,Pseudaminobacter manganicus,30,Pseudaminobacter manganicus,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
2675109,Phyllobacteriaceae,Mesorhizobium composti,30,Mesorhizobium composti,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
2116701,Phyllobacteriaceae,Mesorhizobium ephedrae,30,Mesorhizobium ephedrae,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
1502156,Phyllobacteriaceae,Tianweitania sediminis,30,Tianweitania sediminis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
2767425,Phyllobacteriaceae,Oryzicola mucosus,30,Rothia mucilaginosa,Actinomycetota,Micrococcaceae,Pathogenic,Gram-positive
2742145,Phyllobacteriaceae,Oricola thermophila,30,Oricola thermophila,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
93369,Phyllobacteriaceae,Pseudaminobacter salicylatoxidans,30,Pseudaminobacter salicylatoxidans,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
1982044,Phyllobacteriaceae,Zhengella mangrovi,30,Zhengella mangrovi,Pseudomonadota,Notoacmeibacteraceae,Non-pathogenic,Gram-negative
1295366,Phyllobacteriaceae,Mesorhizobium soli,30,Mesorhizobium soli,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
1851146,Phyllobacteriaceae,Pseudaminobacter arsenicus,30,Pseudaminobacter arsenicus,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
1776730,Phyllobacteriaceae,Mesorhizobium zhangyense,30,(unknown name),(unknown phylum),(unknown family),Unknown,NA
1776423,Phyllobacteriaceae,Mesorhizobium helmanticense,30,Mesorhizobium helmanticense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
2831468,Phyllobacteriaceae,Pseudaminobacter soli,30,Pseudaminobacter soli,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
83265,Phyllobacteriaceae,Aminobacter niigataensis,30,Aminobacter niigataensis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
505389,Phyllobacteriaceae,Mesorhizobium sangaii,30,Mesorhizobium sangaii,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
1300294,Phyllobacteriaceae,Mesorhizobium sophorae,30,Mesorhizobium sophorae,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
2495581,Phyllobacteriaceae,Aquibium carbonis,30,Aquibium carbonis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
536019,Phyllobacteriaceae,Mesorhizobium opportunistum,30,Mesorhizobium opportunistum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
381,Phyllobacteriaceae,Mesorhizobium loti,30,Mesorhizobium loti,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
2037900,Phyllobacteriaceae,Mesorhizobium sanjuanii,30,Mesorhizobium sanjuanii,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
39645,Phyllobacteriaceae,Mesorhizobium ciceri,30,Mesorhizobium ciceri,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
2184161,Phyllobacteriaceae,Oceaniradius stylonematis,30,Oceaniradius stylonematis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
376165,Phyllobacteriaceae,Aminobacter carboxidus,30,Aminobacter carboxidus,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
39844,Phyllobacteriaceae,Mesorhizobium tianshanense,30,Mesorhizobium tianshanense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
1035067,Phyllobacteriaceae,Aminobacter anthyllidis,30,Aminobacter anthyllidis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
