File name: output_cleaned_v3.fa
Outlier score: 2
MBed: mBed
Metric mode: affine
Sequences: 34008
Length: 1434
Bootstrap mean: 2254.07
Bootstrap Sd: 400.848
SdNr:
38323:Bartonellaceae:Bartonella/1-216 henselae: -0.641307
929794:Bartonellaceae:Bartonella/1-216 senegalensis: -0.524056
92181:Bartonellaceae:Bartonella/1-216 koehlerae: -0.162323
803:Bartonellaceae:Bartonella/1-216 quintana: -0.164817
85701:Bartonellaceae:Bartonella/1-216 tribocorum: -0.157333
1460968:Bartonellaceae:Bartonella/1-216 fuyuanensis: -0.474162
33045:Bartonellaceae:Bartonella/1-216 grahamii: -0.514077
2699889:Bartonellaceae:Bartonella/1-216 gabonensis: -0.501604
2893471:Bartonellaceae:Bartonella/1-216 machadoae: -0.0750076
929795:Bartonellaceae:Bartonella/1-216 massiliensis: -0.464183
807:Bartonellaceae:Bartonella/1-216 elizabethae: -0.44672
33046:Bartonellaceae:Bartonella/1-216 taylorii: -0.0675235
2133959:Bartonellaceae:Bartonella/1-216 kosoyi: -0.481646
2961895:Bartonellaceae:Bartonella/1-216 harrusi: -0.656276
1820002:Bartonellaceae:Bartonella/1-216 mastomydis: -0.469172
33044:Bartonellaceae:Bartonella/1-216 doshiae: -0.0126398
270249:Bartonellaceae:Bartonella/1-216 phoceensis: -0.0126398
686223:Bartonellaceae:Bartonella/1-216 callosciuri: -0.0126398
33047:Bartonellaceae:Bartonella/1-216 vinsonii: -0.0126398
270250:Bartonellaceae:Bartonella/1-216 rattimassiliensis: -0.0126398
1457020:Bartonellaceae:Candidatus/1-216 Bartonella raoultii: -0.0126398
2267275:Bartonellaceae:Bartonella/1-216 krasnovii: -0.0126398
1457016:Bartonellaceae:Bartonella/1-216 saheliensis: -0.0126398
111504:Bartonellaceae:Bartonella/1-216 birtlesii: -0.0126398
928210:Bartonellaceae:Bartonella/1-216 florencae: -0.0126398
481139:Bartonellaceae:Bartonella/1-216 rattaustraliani: -0.0126398
186739:Bartonellaceae:Bartonella/1-216 washoeensis: -0.0126398
481138:Bartonellaceae:Bartonella/1-216 queenslandensis: -0.0126398
52764:Bartonellaceae:Bartonella/1-216 alsatica: -0.0126398
774:Bartonellaceae:Bartonella/1-216 bacilliformis: -0.0126398
56426:Bartonellaceae:Bartonella/1-216 clarridgeiae: -0.0126398
155192:Bartonellaceae:Bartonella/1-216 capreoli: -0.0126398
155194:Bartonellaceae:Bartonella/1-216 bovis: -0.0126398
1318743:Bartonellaceae:Bartonella/1-216 ancashensis: -0.0126398
388640:Bartonellaceae:Bartonella/1-216 australis: -0.0126398
395923:Bartonellaceae:Bartonella/1-216 rochalimae: -0.0126398
165694:Bartonellaceae:Bartonella/1-216 schoenbuchensis: -0.0126398
38323:Bartonellaceae:Bartonella/1-216 henselae: -0.0126398
291176:Bartonellaceae:Bartonella/1-216 melophagi: -0.0126398
373638:Bartonellaceae:Bartonella/1-214 tamiae: -0.0675235
2750929:Bartonellaceae:Bartonella/1-216 apihabitans: -0.0126398
2750995:Bartonellaceae:Bartonella/1-216 choladocola: -0.0126398
1686310:Bartonellaceae:Bartonella/1-216 apis: -0.0126398
335286:Brucellaceae:Brucella/1-214 oryzae: -0.00266093
529:Brucellaceae:Brucella/1-214 anthropi: -0.00266093
407152:Brucellaceae:Brucella/1-214 cytisi: -0.00266093
2670329:Phyllobacteriaceae:Phyllobacterium/1-214 phragmitis: -0.00266093
235:Brucellaceae:Brucella/1-214 abortus: -0.00266093
94626:Brucellaceae:Brucella/1-214 tritici: -0.00266093
94625:Brucellaceae:Brucella/1-214 intermedia: -0.00266093
867683:Brucellaceae:Brucella/1-214 pecoris: -0.00266093
235:Brucellaceae:Brucella/1-214 abortus: -0.00266093
419475:Brucellaceae:Brucella/1-214 pseudogrignonensis: -0.00266093
659015:Brucellaceae:Brucella/1-214 daejeonensis: -0.00266093
235:Brucellaceae:Brucella/1-214 abortus: -0.00266093
235:Brucellaceae:Brucella/1-214 abortus: -0.00266093
1218315:Brucellaceae:Brucella/1-214 inopinata: -0.00266093
