taxid,family,genus_species,helix_5_occupancy_30_max,amr_fullname,amr_phylum,amr_family,amr_pathogenicity,amr_gram_status
337701,Roseobacteraceae,Roseovarius pacificus,2,Roseovarius pacificus,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
481181,Roseobacteraceae,Seohaeicola saemankumensis,2,Seohaeicola saemankumensis,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
2562655,Roseobacteraceae,Sulfitobacter sabulilitoris,2,Sulfitobacter sabulilitoris,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
1280831,Roseobacteraceae,Falsiruegeria litorea,2,Falsiruegeria litorea,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
1492905,Roseobacteraceae,Phaeobacter marinintestinus,2,Chryseobacterium meningosepticum,Bacteroidota,Weeksellaceae,Pathogenic,Gram-negative
996115,Roseobacteraceae,Ruegeria intermedia,2,Ruegeria intermedia,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
2741719,Roseobacteraceae,Sulfitobacter maritimus,2,Sulfitobacter maritimus,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
2599291,Paracoccaceae,Chachezhania sediminis,2,Chachezhania sediminis,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
2174228,Paracoccaceae,Albibacillus kandeliae,2,Albibacillus kandeliae,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
1280832,Roseobacteraceae,Falsiruegeria mediterranea,2,Falsiruegeria mediterranea,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
337702,Paracoccaceae,Pseudodonghicola xiamenensis,2,Pseudodonghicola xiamenensis,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
2202251,Sphingomonadaceae,Novosphingobium meiothermophilum,2,Novosphingobium meiothermophilum,Pseudomonadota,Erythrobacteraceae,Non-pathogenic,Gram-negative
2546227,Paracoccaceae,Antarcticimicrobium sediminis,2,Antarcticimicrobium sediminis,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
2692619,Sphingomonadaceae,Novosphingobium silvae,2,Novosphingobium silvae,Pseudomonadota,Erythrobacteraceae,Non-pathogenic,Gram-negative
375761,Paracoccaceae,Pseudooceanicola nanhaiensis,7,Pseudooceanicola nanhaiensis,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
762213,Roseobacteraceae,Pacificibacter maritimus,2,Pacificibacter maritimus,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
1176646,Sphingomonadaceae,Sphingomonas daechungensis,5,Sphingomonas daechungensis,Pseudomonadota,Sphingomonadaceae,Potentially pathogenic,Gram-negative
1977912,Hyphomonadaceae,Henriciella pelagia,13,Henriciella pelagia,Pseudomonadota,Hyphomonadaceae,Non-pathogenic,Gram-negative
404875,Paracoccaceae,Pararhodobacter aggregans,7,Pararhodobacter aggregans,Pseudomonadota,Rhodobacteraceae,Non-pathogenic,Gram-negative
1562974,Comamonadaceae,Comamonas piscis,4,Comamonas piscis,Pseudomonadota,Comamonadaceae,Potentially pathogenic,Gram-negative
1496,Peptostreptococcaceae,Clostridioides difficile,4,Clostridioides difficile,Bacillota,Peptostreptococcaceae,Pathogenic,Gram-positive
29359,Peptostreptococcaceae,Asaccharospora irregularis,2,Asaccharospora irregularis,Bacillota,Clostridiaceae,Non-pathogenic,Gram-positive
1540,Peptostreptococcaceae,Clostridioides mangenotii,4,Clostridioides mangenotii,Bacillota,Peptostreptococcaceae,Potentially pathogenic,Gram-positive
