Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
N-acetylmuramoyl-L-alanine amidase [Clostridioides difficile],Clostridioides difficile,373,373,100%,2e-124,100.00,674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_021371417.1?report=genbank&log$=prottop&blast_rank=1&RID=96M6DB4W016"",""WP_021371417.1"")"
N-acetylmuramoyl-L-alanine amidase [Clostridioides mangenotii],Clostridioides mangenotii,286,286,98%,1e-90,75.82,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_027701366.1?report=genbank&log$=prottop&blast_rank=2&RID=96M6DB4W016"",""WP_027701366.1"")"
N-acetylmuramoyl-L-alanine amidase [Clostridioides difficile],Clostridioides difficile,284,284,100%,6e-90,74.46,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_021359059.1?report=genbank&log$=prottop&blast_rank=3&RID=96M6DB4W016"",""WP_021359059.1"")"
N-acetylmuramoyl-L-alanine amidase [Clostridioides mangenotii],Clostridioides mangenotii,275,275,98%,1e-86,72.53,665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_051599183.1?report=genbank&log$=prottop&blast_rank=4&RID=96M6DB4W016"",""WP_051599183.1"")"
N-acetylmuramoyl-L-alanine amidase [Asaccharospora irregularis],Asaccharospora irregularis,265,265,100%,2e-82,69.23,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073126189.1?report=genbank&log$=prottop&blast_rank=5&RID=96M6DB4W016"",""WP_073126189.1"")"
N-acetylmuramoyl-L-alanine amidase [Clostridioides difficile],Clostridioides difficile,263,263,100%,6e-82,70.81,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_021395802.1?report=genbank&log$=prottop&blast_rank=6&RID=96M6DB4W016"",""WP_021395802.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia maritimum],Romboutsia maritimum,234,234,99%,9e-71,64.29,664,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_095405778.1?report=genbank&log$=prottop&blast_rank=7&RID=96M6DB4W016"",""WP_095405778.1"")"
N-acetylmuramoyl-L-alanine amidase [Peptacetobacter hominis],Peptacetobacter hominis,231,231,98%,1e-69,62.78,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_142536598.1?report=genbank&log$=prottop&blast_rank=8&RID=96M6DB4W016"",""WP_142536598.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia],Romboutsia,229,229,99%,7e-69,61.33,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092923927.1?report=genbank&log$=prottop&blast_rank=9&RID=96M6DB4W016"",""WP_092923927.1"")"
N-acetylmuramoyl-L-alanine amidase [Peptacetobacter hiranonis],Peptacetobacter hiranonis,228,228,100%,1e-68,60.44,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_006439876.1?report=genbank&log$=prottop&blast_rank=10&RID=96M6DB4W016"",""WP_006439876.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia lituseburensis],Romboutsia lituseburensis,219,219,99%,4e-65,58.01,653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092726372.1?report=genbank&log$=prottop&blast_rank=11&RID=96M6DB4W016"",""WP_092726372.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia timonensis],Romboutsia timonensis,213,213,99%,6e-63,55.38,664,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071119533.1?report=genbank&log$=prottop&blast_rank=12&RID=96M6DB4W016"",""WP_071119533.1"")"
N-acetylmuramoyl-L-alanine amidase [[Clostridium] dakarense],[Clostridium] dakarense,208,208,99%,5e-61,57.14,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_042271297.1?report=genbank&log$=prottop&blast_rank=13&RID=96M6DB4W016"",""WP_042271297.1"")"
N-acetylmuramoyl-L-alanine amidase [Peptostreptococcus stomatis],Peptostreptococcus stomatis,146,146,98%,5e-38,47.09,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_007789216.1?report=genbank&log$=prottop&blast_rank=14&RID=96M6DB4W016"",""WP_007789216.1"")"
N-acetylmuramoyl-L-alanine amidase [Niameybacter massiliensis],Niameybacter massiliensis,141,141,98%,2e-37,46.15,410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_053983791.1?report=genbank&log$=prottop&blast_rank=15&RID=96M6DB4W016"",""WP_053983791.1"")"
N-acetylmuramoyl-L-alanine amidase [Peptostreptococcus porci],Peptostreptococcus porci,135,135,98%,3e-34,43.92,616,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_195836882.1?report=genbank&log$=prottop&blast_rank=16&RID=96M6DB4W016"",""WP_195836882.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillus fonticola],Bacillus fonticola,134,134,100%,3e-34,38.46,519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_170008289.1?report=genbank&log$=prottop&blast_rank=17&RID=96M6DB4W016"",""WP_170008289.1"")"
N-acetylmuramoyl-L-alanine amidase [Peptostreptococcus canis],Peptostreptococcus canis,134,134,98%,1e-33,43.09,629,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_185624000.1?report=genbank&log$=prottop&blast_rank=18&RID=96M6DB4W016"",""WP_185624000.1"")"
N-acetylmuramoyl-L-alanine amidase [Peptostreptococcus russellii],Peptostreptococcus russellii,127,127,98%,2e-31,44.44,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_106776317.1?report=genbank&log$=prottop&blast_rank=19&RID=96M6DB4W016"",""WP_106776317.1"")"
N-acetylmuramoyl-L-alanine amidase [Cytobacillus oceanisediminis],Cytobacillus oceanisediminis,125,125,100%,3e-31,39.67,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144546400.1?report=genbank&log$=prottop&blast_rank=20&RID=96M6DB4W016"",""WP_144546400.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia lituseburensis],Romboutsia lituseburensis,125,125,98%,4e-31,40.96,437,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092726337.1?report=genbank&log$=prottop&blast_rank=21&RID=96M6DB4W016"",""WP_092726337.1"")"
N-acetylmuramoyl-L-alanine amidase [Apilactobacillus quenuiae],Apilactobacillus quenuiae,120,120,98%,3e-30,39.56,288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_105956841.1?report=genbank&log$=prottop&blast_rank=22&RID=96M6DB4W016"",""WP_105956841.1"")"
N-acetylmuramoyl-L-alanine amidase [Kroppenstedtia eburnea],Kroppenstedtia eburnea,117,117,98%,5e-30,40.11,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_009711066.1?report=genbank&log$=prottop&blast_rank=23&RID=96M6DB4W016"",""WP_009711066.1"")"
N-acetylmuramoyl-L-alanine amidase [Fictibacillus halophilus],Fictibacillus halophilus,122,122,100%,6e-30,43.48,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_198768433.1?report=genbank&log$=prottop&blast_rank=24&RID=96M6DB4W016"",""WP_198768433.1"")"
N-acetylmuramoyl-L-alanine amidase [Sulfuriroseicoccus oceanibius],Sulfuriroseicoccus oceanibius,116,116,98%,9e-30,38.67,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_164363000.1?report=genbank&log$=prottop&blast_rank=25&RID=96M6DB4W016"",""WP_164363000.1"")"
N-acetylmuramoyl-L-alanine amidase [Apilactobacillus ozensis],Apilactobacillus ozensis,118,118,100%,2e-29,38.17,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_056965665.1?report=genbank&log$=prottop&blast_rank=26&RID=96M6DB4W016"",""WP_056965665.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillus badius],Bacillus badius,121,121,100%,2e-29,38.59,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_223661494.1?report=genbank&log$=prottop&blast_rank=27&RID=96M6DB4W016"",""WP_223661494.1"")"
